,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
6601,AIA,North America,Anguilla,2020-03-28,2.0,2.0,,,,,125.968,125.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6602,AIA,North America,Anguilla,2020-03-29,2.0,0.0,,,,,125.968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6603,AIA,North America,Anguilla,2020-03-30,2.0,0.0,,,,,125.968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6604,AIA,North America,Anguilla,2020-03-31,2.0,0.0,,,,,125.968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6605,AIA,North America,Anguilla,2020-04-01,2.0,0.0,,,,,125.968,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6606,AIA,North America,Anguilla,2020-04-02,3.0,1.0,0.429,,,,188.953,62.984,26.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6607,AIA,North America,Anguilla,2020-04-03,3.0,0.0,0.429,,,,188.953,0.0,26.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6608,AIA,North America,Anguilla,2020-04-04,3.0,0.0,0.143,,,,188.953,0.0,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6609,AIA,North America,Anguilla,2020-04-05,3.0,0.0,0.143,,,,188.953,0.0,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6610,AIA,North America,Anguilla,2020-04-06,3.0,0.0,0.143,,,,188.953,0.0,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6611,AIA,North America,Anguilla,2020-04-07,3.0,0.0,0.143,,,,188.953,0.0,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6612,AIA,North America,Anguilla,2020-04-08,3.0,0.0,0.143,,,,188.953,0.0,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6613,AIA,North America,Anguilla,2020-04-09,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6614,AIA,North America,Anguilla,2020-04-10,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6615,AIA,North America,Anguilla,2020-04-11,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6616,AIA,North America,Anguilla,2020-04-12,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6617,AIA,North America,Anguilla,2020-04-13,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6618,AIA,North America,Anguilla,2020-04-14,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6619,AIA,North America,Anguilla,2020-04-15,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6620,AIA,North America,Anguilla,2020-04-16,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6621,AIA,North America,Anguilla,2020-04-17,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6622,AIA,North America,Anguilla,2020-04-18,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6623,AIA,North America,Anguilla,2020-04-19,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
6624,AIA,North America,Anguilla,2020-04-20,3.0,0.0,0.0,,,,188.953,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877.0,,,,
