,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
7672,ATG,North America,Antigua and Barbuda,2020-03-13,1.0,1.0,,,,,10.664,10.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7673,ATG,North America,Antigua and Barbuda,2020-03-14,1.0,0.0,,,,,10.664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7674,ATG,North America,Antigua and Barbuda,2020-03-15,1.0,0.0,,,,,10.664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7675,ATG,North America,Antigua and Barbuda,2020-03-16,1.0,0.0,,,,,10.664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7676,ATG,North America,Antigua and Barbuda,2020-03-17,1.0,0.0,,,,,10.664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7677,ATG,North America,Antigua and Barbuda,2020-03-18,1.0,0.0,0.143,,,,10.664,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7678,ATG,North America,Antigua and Barbuda,2020-03-19,1.0,0.0,0.143,,,,10.664,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7679,ATG,North America,Antigua and Barbuda,2020-03-20,1.0,0.0,0.0,,,,10.664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7680,ATG,North America,Antigua and Barbuda,2020-03-21,1.0,0.0,0.0,,,,10.664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7681,ATG,North America,Antigua and Barbuda,2020-03-22,1.0,0.0,0.0,,,,10.664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7682,ATG,North America,Antigua and Barbuda,2020-03-23,3.0,2.0,0.286,,,,31.992,21.328,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7683,ATG,North America,Antigua and Barbuda,2020-03-24,3.0,0.0,0.286,,,,31.992,0.0,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7684,ATG,North America,Antigua and Barbuda,2020-03-25,3.0,0.0,0.286,,,,31.992,0.0,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7685,ATG,North America,Antigua and Barbuda,2020-03-26,7.0,4.0,0.857,,,,74.649,42.657,9.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7686,ATG,North America,Antigua and Barbuda,2020-03-27,7.0,0.0,0.857,,,,74.649,0.0,9.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7687,ATG,North America,Antigua and Barbuda,2020-03-28,7.0,0.0,0.857,,,,74.649,0.0,9.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7688,ATG,North America,Antigua and Barbuda,2020-03-29,7.0,0.0,0.857,,,,74.649,0.0,9.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7689,ATG,North America,Antigua and Barbuda,2020-03-30,7.0,0.0,0.571,,,,74.649,0.0,6.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7690,ATG,North America,Antigua and Barbuda,2020-03-31,7.0,0.0,0.571,,,,74.649,0.0,6.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-5.3,-3.27,0.17,-57.190956
7691,ATG,North America,Antigua and Barbuda,2020-04-01,7.0,0.0,0.571,,,,74.649,0.0,6.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7692,ATG,North America,Antigua and Barbuda,2020-04-02,9.0,2.0,0.286,,,,95.977,21.328,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7693,ATG,North America,Antigua and Barbuda,2020-04-03,15.0,6.0,1.143,,,,159.962,63.985,12.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7694,ATG,North America,Antigua and Barbuda,2020-04-04,15.0,0.0,1.143,,,,159.962,0.0,12.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7695,ATG,North America,Antigua and Barbuda,2020-04-05,15.0,0.0,1.143,,,,159.962,0.0,12.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7696,ATG,North America,Antigua and Barbuda,2020-04-06,15.0,0.0,1.143,,,,159.962,0.0,12.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7697,ATG,North America,Antigua and Barbuda,2020-04-07,19.0,4.0,1.714,1.0,1.0,,202.619,42.657,18.281,10.664,10.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7698,ATG,North America,Antigua and Barbuda,2020-04-08,19.0,0.0,1.714,2.0,1.0,,202.619,0.0,18.281,21.328,10.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7699,ATG,North America,Antigua and Barbuda,2020-04-09,19.0,0.0,1.429,2.0,0.0,,202.619,0.0,15.235,21.328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7700,ATG,North America,Antigua and Barbuda,2020-04-10,19.0,0.0,0.571,2.0,0.0,,202.619,0.0,6.094,21.328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7701,ATG,North America,Antigua and Barbuda,2020-04-11,21.0,2.0,0.857,2.0,0.0,,223.947,21.328,9.141,21.328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7702,ATG,North America,Antigua and Barbuda,2020-04-12,21.0,0.0,0.857,2.0,0.0,0.286,223.947,0.0,9.141,21.328,0.0,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7703,ATG,North America,Antigua and Barbuda,2020-04-13,23.0,2.0,1.143,2.0,0.0,0.286,245.276,21.328,12.188,21.328,0.0,3.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7704,ATG,North America,Antigua and Barbuda,2020-04-14,23.0,0.0,0.571,2.0,0.0,0.143,245.276,0.0,6.094,21.328,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7705,ATG,North America,Antigua and Barbuda,2020-04-15,23.0,0.0,0.571,2.0,0.0,0.0,245.276,0.0,6.094,21.328,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7706,ATG,North America,Antigua and Barbuda,2020-04-16,23.0,0.0,0.571,3.0,1.0,0.143,245.276,0.0,6.094,31.992,10.664,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7707,ATG,North America,Antigua and Barbuda,2020-04-17,23.0,0.0,0.571,3.0,0.0,0.143,245.276,0.0,6.094,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7708,ATG,North America,Antigua and Barbuda,2020-04-18,23.0,0.0,0.286,3.0,0.0,0.143,245.276,0.0,3.047,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7709,ATG,North America,Antigua and Barbuda,2020-04-19,23.0,0.0,0.286,3.0,0.0,0.143,245.276,0.0,3.047,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7710,ATG,North America,Antigua and Barbuda,2020-04-20,23.0,0.0,0.0,3.0,0.0,0.143,245.276,0.0,0.0,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7711,ATG,North America,Antigua and Barbuda,2020-04-21,23.0,0.0,0.0,3.0,0.0,0.143,245.276,0.0,0.0,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7712,ATG,North America,Antigua and Barbuda,2020-04-22,24.0,1.0,0.143,3.0,0.0,0.143,255.94,10.664,1.523,31.992,0.0,1.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7713,ATG,North America,Antigua and Barbuda,2020-04-23,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7714,ATG,North America,Antigua and Barbuda,2020-04-24,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7715,ATG,North America,Antigua and Barbuda,2020-04-25,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7716,ATG,North America,Antigua and Barbuda,2020-04-26,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7717,ATG,North America,Antigua and Barbuda,2020-04-27,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
7718,ATG,North America,Antigua and Barbuda,2020-04-28,24.0,0.0,0.143,3.0,0.0,0.0,255.94,0.0,1.523,31.992,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,,,,
