,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
30762,BWA,Africa,Botswana,2020-03-30,3.0,3.0,,,,,1.141,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30763,BWA,Africa,Botswana,2020-03-31,4.0,1.0,,1.0,1.0,,1.521,0.38,,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30764,BWA,Africa,Botswana,2020-04-01,4.0,0.0,,1.0,0.0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30765,BWA,Africa,Botswana,2020-04-02,4.0,0.0,,1.0,0.0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30766,BWA,Africa,Botswana,2020-04-03,4.0,0.0,,1.0,0.0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,820.0,,0.317,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30767,BWA,Africa,Botswana,2020-04-04,4.0,0.0,0.571,1.0,0.0,,1.521,0.0,0.217,0.38,0.0,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30768,BWA,Africa,Botswana,2020-04-05,6.0,2.0,0.857,1.0,0.0,0.143,2.281,0.76,0.326,0.38,0.0,0.054,,,,,,,,,,966.0,,0.373,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30769,BWA,Africa,Botswana,2020-04-06,6.0,0.0,0.429,1.0,0.0,0.143,2.281,0.0,0.163,0.38,0.0,0.054,,,,,,,,,,1154.0,188.0,0.446,0.073,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30770,BWA,Africa,Botswana,2020-04-07,6.0,0.0,0.286,1.0,0.0,0.0,2.281,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,2078.0,924.0,0.803,0.357,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30771,BWA,Africa,Botswana,2020-04-08,6.0,0.0,0.286,1.0,0.0,0.0,2.281,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30772,BWA,Africa,Botswana,2020-04-09,13.0,7.0,1.286,1.0,0.0,0.0,4.942,2.661,0.489,0.38,0.0,0.0,,,,,,,,,,2527.0,,0.976,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30773,BWA,Africa,Botswana,2020-04-10,13.0,0.0,1.286,1.0,0.0,0.0,4.942,0.0,0.489,0.38,0.0,0.0,,,,,,,,,,,,,,272.0,0.105,0.0047,211.5,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30774,BWA,Africa,Botswana,2020-04-11,13.0,0.0,1.286,1.0,0.0,0.0,4.942,0.0,0.489,0.38,0.0,0.0,,,,,,,,,,,,,,289.0,0.112,0.0044,224.7,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30775,BWA,Africa,Botswana,2020-04-12,13.0,0.0,1.0,1.0,0.0,0.0,4.942,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,3115.0,,1.203,,307.0,0.119,0.0033,307.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30776,BWA,Africa,Botswana,2020-04-13,13.0,0.0,1.0,1.0,0.0,0.0,4.942,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,3441.0,326.0,1.329,0.126,327.0,0.126,0.0031,327.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30777,BWA,Africa,Botswana,2020-04-14,13.0,0.0,1.0,1.0,0.0,0.0,4.942,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,,,,,202.0,0.078,0.005,202.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30778,BWA,Africa,Botswana,2020-04-15,13.0,0.0,1.0,1.0,0.0,0.0,4.942,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,,,,,178.0,0.069,0.0056,178.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30779,BWA,Africa,Botswana,2020-04-16,15.0,2.0,0.286,1.0,0.0,0.0,5.703,0.76,0.109,0.38,0.0,0.0,,,,,,,,,,3602.0,,1.392,,154.0,0.059,0.0019,538.5,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30780,BWA,Africa,Botswana,2020-04-17,15.0,0.0,0.286,1.0,0.0,0.0,5.703,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,3923.0,321.0,1.516,0.124,171.0,0.066,0.0017,597.9,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30781,BWA,Africa,Botswana,2020-04-18,15.0,0.0,0.286,1.0,0.0,0.0,5.703,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,,,,,180.0,0.07,0.0016,629.4,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30782,BWA,Africa,Botswana,2020-04-19,20.0,5.0,1.0,1.0,0.0,0.0,7.604,1.901,0.38,0.38,0.0,0.0,,,,,,,,,,4434.0,,1.713,,188.0,0.073,0.0053,188.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30783,BWA,Africa,Botswana,2020-04-20,20.0,0.0,1.0,1.0,0.0,0.0,7.604,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,,,,,170.0,0.066,0.0059,170.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30784,BWA,Africa,Botswana,2020-04-21,20.0,0.0,1.0,1.0,0.0,0.0,7.604,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,,,,,190.0,0.073,0.0053,190.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30785,BWA,Africa,Botswana,2020-04-22,22.0,2.0,1.286,1.0,0.0,0.0,8.364,0.76,0.489,0.38,0.0,0.0,,,,,,,,,,5023.0,,1.941,,211.0,0.082,0.0061,164.1,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30786,BWA,Africa,Botswana,2020-04-23,22.0,0.0,1.0,1.0,0.0,0.0,8.364,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,5328.0,305.0,2.058,0.118,247.0,0.095,0.004,247.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30787,BWA,Africa,Botswana,2020-04-24,22.0,0.0,1.0,1.0,0.0,0.0,8.364,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,,,,,250.0,0.097,0.004,250.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30788,BWA,Africa,Botswana,2020-04-25,22.0,0.0,1.0,1.0,0.0,0.0,8.364,0.0,0.38,0.38,0.0,0.0,,,,,,,,,,6016.0,,2.324,,262.0,0.101,0.0038,262.0,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30789,BWA,Africa,Botswana,2020-04-26,22.0,0.0,0.286,1.0,0.0,0.0,8.364,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,,,,,240.0,0.093,0.0012,839.2,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30790,BWA,Africa,Botswana,2020-04-27,22.0,0.0,0.286,1.0,0.0,0.0,8.364,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,6210.0,,2.399,,226.0,0.087,0.0013,790.2,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
30791,BWA,Africa,Botswana,2020-04-28,23.0,1.0,0.429,1.0,0.0,0.0,8.744,0.38,0.163,0.38,0.0,0.0,,,,,,,,,,6548.0,338.0,2.53,0.131,246.0,0.095,0.0017,573.4,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
