,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
32933,VGB,North America,British Virgin Islands,2020-03-28,2.0,2.0,,,,,63.833,63.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32934,VGB,North America,British Virgin Islands,2020-03-29,2.0,0.0,,,,,63.833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32935,VGB,North America,British Virgin Islands,2020-03-30,2.0,0.0,,,,,63.833,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32936,VGB,North America,British Virgin Islands,2020-03-31,3.0,1.0,,,,,95.749,31.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32937,VGB,North America,British Virgin Islands,2020-04-01,3.0,0.0,,,,,95.749,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32938,VGB,North America,British Virgin Islands,2020-04-02,3.0,0.0,0.429,,,,95.749,0.0,13.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32939,VGB,North America,British Virgin Islands,2020-04-03,3.0,0.0,0.429,,,,95.749,0.0,13.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32940,VGB,North America,British Virgin Islands,2020-04-04,3.0,0.0,0.143,,,,95.749,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32941,VGB,North America,British Virgin Islands,2020-04-05,3.0,0.0,0.143,,,,95.749,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32942,VGB,North America,British Virgin Islands,2020-04-06,3.0,0.0,0.143,,,,95.749,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32943,VGB,North America,British Virgin Islands,2020-04-07,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32944,VGB,North America,British Virgin Islands,2020-04-08,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32945,VGB,North America,British Virgin Islands,2020-04-09,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32946,VGB,North America,British Virgin Islands,2020-04-10,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32947,VGB,North America,British Virgin Islands,2020-04-11,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32948,VGB,North America,British Virgin Islands,2020-04-12,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32949,VGB,North America,British Virgin Islands,2020-04-13,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32950,VGB,North America,British Virgin Islands,2020-04-14,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32951,VGB,North America,British Virgin Islands,2020-04-15,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32952,VGB,North America,British Virgin Islands,2020-04-16,3.0,0.0,0.0,,,,95.749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32953,VGB,North America,British Virgin Islands,2020-04-17,4.0,1.0,0.143,,,,127.665,31.916,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32954,VGB,North America,British Virgin Islands,2020-04-18,4.0,0.0,0.143,,,,127.665,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32955,VGB,North America,British Virgin Islands,2020-04-19,4.0,0.0,0.143,1.0,1.0,,127.665,0.0,4.559,31.916,31.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32956,VGB,North America,British Virgin Islands,2020-04-20,5.0,1.0,0.286,1.0,0.0,,159.581,31.916,9.119,31.916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32957,VGB,North America,British Virgin Islands,2020-04-21,5.0,0.0,0.286,1.0,0.0,,159.581,0.0,9.119,31.916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32958,VGB,North America,British Virgin Islands,2020-04-22,5.0,0.0,0.286,1.0,0.0,,159.581,0.0,9.119,31.916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32959,VGB,North America,British Virgin Islands,2020-04-23,5.0,0.0,0.286,1.0,0.0,,159.581,0.0,9.119,31.916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32960,VGB,North America,British Virgin Islands,2020-04-24,5.0,0.0,0.143,1.0,0.0,0.143,159.581,0.0,4.559,31.916,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32961,VGB,North America,British Virgin Islands,2020-04-25,6.0,1.0,0.286,1.0,0.0,0.143,191.498,31.916,9.119,31.916,0.0,4.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32962,VGB,North America,British Virgin Islands,2020-04-26,6.0,0.0,0.286,1.0,0.0,0.0,191.498,0.0,9.119,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32963,VGB,North America,British Virgin Islands,2020-04-27,6.0,0.0,0.143,1.0,0.0,0.0,191.498,0.0,4.559,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32964,VGB,North America,British Virgin Islands,2020-04-28,6.0,0.0,0.143,1.0,0.0,0.0,191.498,0.0,4.559,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32965,VGB,North America,British Virgin Islands,2020-04-29,6.0,0.0,0.143,1.0,0.0,0.0,191.498,0.0,4.559,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32966,VGB,North America,British Virgin Islands,2020-04-30,6.0,0.0,0.143,1.0,0.0,0.0,191.498,0.0,4.559,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32967,VGB,North America,British Virgin Islands,2020-05-01,6.0,0.0,0.143,1.0,0.0,0.0,191.498,0.0,4.559,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32968,VGB,North America,British Virgin Islands,2020-05-02,6.0,0.0,0.0,1.0,0.0,0.0,191.498,0.0,0.0,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32969,VGB,North America,British Virgin Islands,2020-05-03,6.0,0.0,0.0,1.0,0.0,0.0,191.498,0.0,0.0,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
32970,VGB,North America,British Virgin Islands,2020-05-04,6.0,0.0,0.0,1.0,0.0,0.0,191.498,0.0,0.0,31.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
