,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
41703,CPV,Africa,Cape Verde,2020-03-20,1.0,1.0,,,,,1.686,1.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41704,CPV,Africa,Cape Verde,2020-03-21,3.0,2.0,,,,,5.058,3.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41705,CPV,Africa,Cape Verde,2020-03-22,3.0,0.0,,,,,5.058,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41706,CPV,Africa,Cape Verde,2020-03-23,3.0,0.0,,,,,5.058,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41707,CPV,Africa,Cape Verde,2020-03-24,3.0,0.0,,1.0,1.0,,5.058,0.0,,1.686,1.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41708,CPV,Africa,Cape Verde,2020-03-25,4.0,1.0,0.571,1.0,0.0,,6.744,1.686,0.963,1.686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41709,CPV,Africa,Cape Verde,2020-03-26,4.0,0.0,0.571,1.0,0.0,,6.744,0.0,0.963,1.686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41710,CPV,Africa,Cape Verde,2020-03-27,5.0,1.0,0.571,1.0,0.0,,8.429,1.686,0.963,1.686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41711,CPV,Africa,Cape Verde,2020-03-28,5.0,0.0,0.286,1.0,0.0,,8.429,0.0,0.482,1.686,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41712,CPV,Africa,Cape Verde,2020-03-29,6.0,1.0,0.429,1.0,0.0,0.143,10.115,1.686,0.723,1.686,0.0,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41713,CPV,Africa,Cape Verde,2020-03-30,6.0,0.0,0.429,1.0,0.0,0.143,10.115,0.0,0.723,1.686,0.0,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41714,CPV,Africa,Cape Verde,2020-03-31,6.0,0.0,0.429,1.0,0.0,0.0,10.115,0.0,0.723,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,-47.600002,-6.47,-17.32,-81.696266
41715,CPV,Africa,Cape Verde,2020-04-01,6.0,0.0,0.286,1.0,0.0,0.0,10.115,0.0,0.482,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41716,CPV,Africa,Cape Verde,2020-04-02,6.0,0.0,0.286,1.0,0.0,0.0,10.115,0.0,0.482,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41717,CPV,Africa,Cape Verde,2020-04-03,6.0,0.0,0.143,1.0,0.0,0.0,10.115,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41718,CPV,Africa,Cape Verde,2020-04-04,7.0,1.0,0.286,1.0,0.0,0.0,11.801,1.686,0.482,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41719,CPV,Africa,Cape Verde,2020-04-05,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41720,CPV,Africa,Cape Verde,2020-04-06,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41721,CPV,Africa,Cape Verde,2020-04-07,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41722,CPV,Africa,Cape Verde,2020-04-08,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41723,CPV,Africa,Cape Verde,2020-04-09,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41724,CPV,Africa,Cape Verde,2020-04-10,7.0,0.0,0.143,1.0,0.0,0.0,11.801,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41725,CPV,Africa,Cape Verde,2020-04-11,8.0,1.0,0.143,1.0,0.0,0.0,13.487,1.686,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41726,CPV,Africa,Cape Verde,2020-04-12,8.0,0.0,0.143,1.0,0.0,0.0,13.487,0.0,0.241,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41727,CPV,Africa,Cape Verde,2020-04-13,10.0,2.0,0.429,1.0,0.0,0.0,16.859,3.372,0.723,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41728,CPV,Africa,Cape Verde,2020-04-14,11.0,1.0,0.571,1.0,0.0,0.0,18.545,1.686,0.963,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41729,CPV,Africa,Cape Verde,2020-04-15,56.0,45.0,7.0,1.0,0.0,0.0,94.409,75.865,11.801,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
41730,CPV,Africa,Cape Verde,2020-04-16,56.0,0.0,7.0,1.0,0.0,0.0,94.409,0.0,11.801,1.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
