,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
51489,COK,Oceania,Cook Islands,2021-05-21,1.0,1.0,,,,,58.713,58.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
51490,COK,Oceania,Cook Islands,2021-05-22,1.0,0.0,,,,,58.713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
51491,COK,Oceania,Cook Islands,2021-05-23,1.0,0.0,,,,,58.713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
51492,COK,Oceania,Cook Islands,2021-05-24,1.0,0.0,,,,,58.713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
51493,COK,Oceania,Cook Islands,2021-05-25,1.0,0.0,,,,,58.713,0.0,,,,,,,,,,,,,,,,,,,,,,,4363.0,4363.0,,,,,25.62,25.62,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
51494,COK,Oceania,Cook Islands,2021-05-26,1.0,0.0,0.143,,,,58.713,0.0,8.388,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51495,COK,Oceania,Cook Islands,2021-05-27,1.0,0.0,0.143,,,,58.713,0.0,8.388,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51496,COK,Oceania,Cook Islands,2021-05-28,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51497,COK,Oceania,Cook Islands,2021-05-29,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51498,COK,Oceania,Cook Islands,2021-05-30,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51499,COK,Oceania,Cook Islands,2021-05-31,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,,,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51500,COK,Oceania,Cook Islands,2021-06-01,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,8291.0,8291.0,,,,561.0,48.68,48.68,,,32938.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
51501,COK,Oceania,Cook Islands,2021-06-02,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,507.0,,,,,29767.0,506.0,2.971,,,,,,,,,,,,,,76.25,,17032.0,,,,
51502,COK,Oceania,Cook Islands,2021-06-03,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,,,,,26597.0,452.0,2.654,,,,,,,,,,,,,,76.25,,17032.0,,,,
51503,COK,Oceania,Cook Islands,2021-06-04,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,399.0,,,,,23426.0,397.0,2.331,,,,,,,,,,,,,,76.25,,17032.0,,,,
51504,COK,Oceania,Cook Islands,2021-06-05,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,,,,,20197.0,342.0,2.008,,,,,,,,,,,,,,76.25,,17032.0,,,,
51505,COK,Oceania,Cook Islands,2021-06-06,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,17027.0,287.0,1.685,,,,,,,,,,,,,,76.25,,17032.0,,,,
51506,COK,Oceania,Cook Islands,2021-06-07,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,,,,,13856.0,232.0,1.362,,,,,,,,,,,,,,76.25,,17032.0,,,,
51507,COK,Oceania,Cook Islands,2021-06-08,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,9564.0,9535.0,29.0,,,182.0,56.15,55.98,0.17,,10686.0,178.0,1.045,,,,,,,,,,,,,,76.25,,17032.0,,,,
51508,COK,Oceania,Cook Islands,2021-06-09,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,,,,,12388.0,153.0,0.898,,,,,,,,,,,,,,76.25,,17032.0,,,,
51509,COK,Oceania,Cook Islands,2021-06-10,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,14091.0,129.0,0.757,,,,,,,,,,,,,,76.25,,17032.0,,,,
51510,COK,Oceania,Cook Islands,2021-06-11,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,,,,,15794.0,105.0,0.616,,,,,,,,,,,,,,76.25,,17032.0,,,,
51511,COK,Oceania,Cook Islands,2021-06-12,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,,,,,17496.0,81.0,0.476,,,,,,,,,,,,,,76.25,,17032.0,,,,
51512,COK,Oceania,Cook Islands,2021-06-13,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,,,,,19140.0,56.0,0.329,,,,,,,,,,,,,,76.25,,17032.0,,,,
51513,COK,Oceania,Cook Islands,2021-06-14,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,,,20843.0,32.0,0.188,,,,,,,,,,,,,,76.25,,17032.0,,,,
51514,COK,Oceania,Cook Islands,2021-06-15,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12254.0,9589.0,2665.0,,,384.0,71.95,56.3,15.65,,22546.0,8.0,0.047,,,,,,,,,,,,,,76.25,,17032.0,,,,
51515,COK,Oceania,Cook Islands,2021-06-16,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,,,,,26773.0,7.0,0.041,,,,,,,,,,,,,,76.25,,17032.0,,,,
51516,COK,Oceania,Cook Islands,2021-06-17,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,,,,,30942.0,7.0,0.041,,,,,,,,,,,,,,76.25,,17032.0,,,,
51517,COK,Oceania,Cook Islands,2021-06-18,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,,,35110.0,6.0,0.035,,,,,,,,,,,,,,76.25,,17032.0,,,,
51518,COK,Oceania,Cook Islands,2021-06-19,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,,,,,39338.0,6.0,0.035,,,,,,,,,,,,,,76.25,,17032.0,,,,
51519,COK,Oceania,Cook Islands,2021-06-20,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,741.0,,,,,43506.0,5.0,0.029,,,,,,,,,,,,,,76.25,,17032.0,,,,
51520,COK,Oceania,Cook Islands,2021-06-21,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,17556.0,9613.0,7943.0,,,812.0,103.08,56.44,46.64,,47675.0,5.0,0.029,,,,,,,,,,,,,,76.25,,17032.0,,,,
51521,COK,Oceania,Cook Islands,2021-06-22,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,,45914.0,6.0,0.035,,,,,,,,,,,,,,76.25,,17032.0,,,,
51522,COK,Oceania,Cook Islands,2021-06-23,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0,,,,,39984.0,8.0,0.047,,,,,,,,,,,,,,76.25,,17032.0,,,,
51523,COK,Oceania,Cook Islands,2021-06-24,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,,,,,33995.0,10.0,0.059,,,,,,,,,,,,,,76.25,,17032.0,,,,
51524,COK,Oceania,Cook Islands,2021-06-25,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,478.0,,,,,28065.0,12.0,0.07,,,,,,,,,,,,,,76.25,,17032.0,,,,
51525,COK,Oceania,Cook Islands,2021-06-26,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,,22076.0,14.0,0.082,,,,,,,,,,,,,,76.25,,17032.0,,,,
51526,COK,Oceania,Cook Islands,2021-06-27,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,,,,,16146.0,16.0,0.094,,,,,,,,,,,,,,76.25,,17032.0,,,,
51527,COK,Oceania,Cook Islands,2021-06-28,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,,10157.0,18.0,0.106,,,,,,,,,,,,,,76.25,,17032.0,,,,
51528,COK,Oceania,Cook Islands,2021-06-29,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,18942.0,9755.0,9187.0,,,173.0,111.21,57.27,53.94,,10157.0,18.0,0.106,,,,,,,,,,,,,,76.25,,17032.0,,,,
51529,COK,Oceania,Cook Islands,2021-06-30,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,9335.0,23.0,0.135,,,,,,,,,,,,,,76.25,,17032.0,,,,
51530,COK,Oceania,Cook Islands,2021-07-01,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,8513.0,29.0,0.17,,,,,,,,,,,,,,76.25,,17032.0,,,,
51531,COK,Oceania,Cook Islands,2021-07-02,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,7691.0,34.0,0.2,,,,,,,,,,,,,,76.25,,17032.0,,,,
51532,COK,Oceania,Cook Islands,2021-07-03,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,6869.0,40.0,0.235,,,,,,,,,,,,,,76.25,,17032.0,,,,
51533,COK,Oceania,Cook Islands,2021-07-04,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,6047.0,45.0,0.264,,,,,,,,,,,,,,76.25,,17032.0,,,,
51534,COK,Oceania,Cook Islands,2021-07-05,1.0,0.0,0.0,,,,58.713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,5225.0,51.0,0.299,,,,,,,,,,,,,,76.25,,17032.0,,,,
