,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
57597,CYP,Europe,Cyprus,2020-03-09,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57598,CYP,Europe,Cyprus,2020-03-10,2.0,2.0,,,,,2.232,2.232,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57599,CYP,Europe,Cyprus,2020-03-11,2.0,0.0,,,,,2.232,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57600,CYP,Europe,Cyprus,2020-03-12,6.0,4.0,,,,,6.696,4.464,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57601,CYP,Europe,Cyprus,2020-03-13,6.0,0.0,,,,,6.696,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57602,CYP,Europe,Cyprus,2020-03-14,14.0,8.0,,,,,15.625,8.929,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57603,CYP,Europe,Cyprus,2020-03-15,21.0,7.0,3.0,,,,23.437,7.812,3.348,,,,,0.0,0.0,0.0,0.0,,,7.0,7.812,,,,,,,,,,,,,,,,,,,,,,,44.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,11.299997,0.71,0.39,9.131016
57604,CYP,Europe,Cyprus,2020-03-16,30.0,9.0,4.286,,,,33.482,10.045,4.783,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57605,CYP,Europe,Cyprus,2020-03-17,40.0,10.0,5.429,,,,44.643,11.161,6.059,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57606,CYP,Europe,Cyprus,2020-03-18,40.0,0.0,5.429,,,,44.643,0.0,6.059,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57607,CYP,Europe,Cyprus,2020-03-19,58.0,18.0,7.429,,,,64.732,20.089,8.291,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57608,CYP,Europe,Cyprus,2020-03-20,58.0,0.0,7.429,,,,64.732,0.0,8.291,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57609,CYP,Europe,Cyprus,2020-03-21,67.0,9.0,7.571,,,,74.776,10.045,8.45,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57610,CYP,Europe,Cyprus,2020-03-22,84.0,17.0,9.0,,,,93.749,18.973,10.045,,,,,0.0,0.0,0.0,0.0,6.0,6.696,18.0,20.089,,,,,,,,,,,,,,,,,,,,,,,51.85,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,21.399998,1.25,7.84,17.292368
57611,CYP,Europe,Cyprus,2020-03-23,95.0,11.0,9.286,,,,106.026,12.277,10.363,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57612,CYP,Europe,Cyprus,2020-03-24,116.0,21.0,10.857,,,,129.463,23.437,12.117,,,,,4.0,4.464,24.0,26.786,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57613,CYP,Europe,Cyprus,2020-03-25,124.0,8.0,12.0,3.0,3.0,,138.392,8.929,13.393,3.348,3.348,,1.18,5.0,5.58,23.0,25.669,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57614,CYP,Europe,Cyprus,2020-03-26,132.0,8.0,10.571,3.0,0.0,,147.32,8.929,11.798,3.348,0.0,,1.18,6.0,6.696,21.0,23.437,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57615,CYP,Europe,Cyprus,2020-03-27,146.0,14.0,12.571,3.0,0.0,,162.945,15.625,14.031,3.348,0.0,,1.19,8.0,8.929,29.0,32.366,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57616,CYP,Europe,Cyprus,2020-03-28,162.0,16.0,13.571,5.0,2.0,,180.802,17.857,15.147,5.58,2.232,,1.21,11.0,12.277,34.0,37.946,,,,,5917.0,,6.604,,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57617,CYP,Europe,Cyprus,2020-03-29,179.0,17.0,13.571,5.0,0.0,,199.775,18.973,15.147,5.58,0.0,,1.23,9.0,10.045,33.0,36.83,14.0,15.625,51.0,56.919,6447.0,530.0,7.195,0.592,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,41.299995,2.26,16.71,33.372654
57618,CYP,Europe,Cyprus,2020-03-30,214.0,35.0,17.0,6.0,1.0,0.857,238.837,39.062,18.973,6.696,1.116,0.957,1.24,10.0,11.161,34.0,37.946,,,,,6847.0,400.0,7.642,0.446,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57619,CYP,Europe,Cyprus,2020-03-31,230.0,16.0,16.286,7.0,1.0,1.0,256.694,17.857,18.176,7.812,1.116,1.116,1.24,11.0,12.277,40.0,44.643,,,,,7397.0,550.0,8.256,0.614,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57620,CYP,Europe,Cyprus,2020-04-01,262.0,32.0,19.714,8.0,1.0,0.714,292.408,35.714,22.002,8.929,1.116,0.797,1.25,11.0,12.277,54.0,60.267,,,,,8176.0,779.0,9.125,0.869,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57621,CYP,Europe,Cyprus,2020-04-02,320.0,58.0,26.857,9.0,1.0,0.857,357.14,64.732,29.974,10.045,1.116,0.957,1.24,9.0,10.045,51.0,56.919,,,,,8779.0,603.0,9.798,0.673,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57622,CYP,Europe,Cyprus,2020-04-03,356.0,36.0,30.0,9.0,0.0,0.857,397.318,40.178,33.482,10.045,0.0,0.957,1.22,12.0,13.393,55.0,61.383,,,,,9447.0,668.0,10.543,0.746,,,,,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57623,CYP,Europe,Cyprus,2020-04-04,396.0,40.0,33.429,9.0,0.0,0.571,441.961,44.643,37.308,10.045,0.0,0.638,1.18,11.0,12.277,56.0,62.5,,,,,10145.0,698.0,11.322,0.779,604.0,0.674,0.0553,18.1,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57624,CYP,Europe,Cyprus,2020-04-05,426.0,30.0,35.286,9.0,0.0,0.571,475.443,33.482,39.381,10.045,0.0,0.638,1.15,11.0,12.277,55.0,61.383,11.0,12.277,46.0,51.339,10937.0,792.0,12.206,0.884,641.0,0.715,0.055,18.2,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,47.399994,2.43,4.85,38.30179
57625,CYP,Europe,Cyprus,2020-04-06,446.0,20.0,33.143,9.0,0.0,0.429,497.764,22.321,36.99,10.045,0.0,0.478,1.11,11.0,12.277,48.0,53.571,,,,,11655.0,718.0,13.008,0.801,687.0,0.767,0.0482,20.7,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57626,CYP,Europe,Cyprus,2020-04-07,465.0,19.0,33.571,9.0,0.0,0.286,518.969,21.205,37.468,10.045,0.0,0.319,1.08,13.0,14.509,51.0,56.919,,,,,13008.0,1353.0,14.518,1.51,802.0,0.895,0.0419,23.9,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57627,CYP,Europe,Cyprus,2020-04-08,494.0,29.0,33.143,9.0,0.0,0.143,551.335,32.366,36.99,10.045,0.0,0.159,1.06,14.0,15.625,45.0,50.223,,,,,14264.0,1256.0,15.92,1.402,870.0,0.971,0.0381,26.2,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57628,CYP,Europe,Cyprus,2020-04-09,526.0,32.0,29.429,9.0,0.0,0.0,587.049,35.714,32.844,10.045,0.0,0.0,1.03,12.0,13.393,51.0,56.919,,,,,15480.0,1216.0,17.277,1.357,957.0,1.068,0.0308,32.5,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57629,CYP,Europe,Cyprus,2020-04-10,564.0,38.0,29.714,10.0,1.0,0.143,629.459,42.41,33.163,11.161,1.116,0.159,1.01,12.0,13.393,50.0,55.803,,,,,16299.0,819.0,18.191,0.914,979.0,1.093,0.0304,32.9,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57630,CYP,Europe,Cyprus,2020-04-11,595.0,31.0,28.429,10.0,0.0,0.143,664.057,34.598,31.728,11.161,0.0,0.159,0.98,12.0,13.393,45.0,50.223,,,,,17110.0,811.0,19.096,0.905,995.0,1.11,0.0286,35.0,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57631,CYP,Europe,Cyprus,2020-04-12,616.0,21.0,27.143,10.0,0.0,0.143,687.495,23.437,30.293,11.161,0.0,0.159,0.95,13.0,14.509,42.0,46.875,8.0,8.929,21.0,23.437,17914.0,804.0,19.993,0.897,997.0,1.113,0.0272,36.7,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,39.699993,1.91,-6.49,32.079765
57632,CYP,Europe,Cyprus,2020-04-13,633.0,17.0,26.714,11.0,1.0,0.286,706.468,18.973,29.815,12.277,1.116,0.319,0.92,13.0,14.509,39.0,43.526,,,,,18805.0,891.0,20.988,0.994,1021.0,1.14,0.0262,38.2,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57633,CYP,Europe,Cyprus,2020-04-14,662.0,29.0,28.143,12.0,1.0,0.429,738.834,32.366,31.409,13.393,1.116,0.478,0.89,12.0,13.393,40.0,44.643,,,,,20508.0,1703.0,22.888,1.901,1071.0,1.195,0.0263,38.1,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57634,CYP,Europe,Cyprus,2020-04-15,695.0,33.0,28.714,12.0,0.0,0.429,775.664,36.83,32.047,13.393,0.0,0.478,0.86,12.0,13.393,40.0,44.643,,,,,22820.0,2312.0,25.469,2.58,1222.0,1.364,0.0235,42.6,tests performed,,,,,,,,,,,,,,92.59,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57635,CYP,Europe,Cyprus,2020-04-16,715.0,20.0,27.0,12.0,0.0,0.429,797.985,22.321,30.134,13.393,0.0,0.478,0.83,12.0,13.393,36.0,40.178,,,,,25725.0,2905.0,28.711,3.242,1464.0,1.634,0.0184,54.2,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57636,CYP,Europe,Cyprus,2020-04-17,735.0,20.0,24.429,12.0,0.0,0.286,820.306,22.321,27.264,13.393,0.0,0.319,0.8,13.0,14.509,40.0,44.643,,,,,28966.0,3241.0,32.328,3.617,1810.0,2.02,0.0135,74.1,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57637,CYP,Europe,Cyprus,2020-04-18,735.0,0.0,20.0,12.0,0.0,0.286,820.306,0.0,22.321,13.393,0.0,0.319,0.77,13.0,14.509,36.0,40.178,,,,,32175.0,3209.0,35.909,3.581,2152.0,2.402,0.0093,107.6,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57638,CYP,Europe,Cyprus,2020-04-19,761.0,26.0,20.714,12.0,0.0,0.286,849.324,29.018,23.118,13.393,0.0,0.319,0.75,12.0,13.393,36.0,40.178,3.0,3.348,12.0,13.393,33978.0,1803.0,37.922,2.012,2295.0,2.561,0.009,110.8,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,41.399994,1.89,1.41,33.45346
57639,CYP,Europe,Cyprus,2020-04-20,767.0,6.0,19.143,12.0,0.0,0.143,856.02,6.696,21.365,13.393,0.0,0.159,0.72,13.0,14.509,33.0,36.83,,,,,35647.0,1669.0,39.784,1.863,2406.0,2.685,0.008,125.7,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57640,CYP,Europe,Cyprus,2020-04-21,772.0,5.0,15.714,12.0,0.0,0.0,861.6,5.58,17.538,13.393,0.0,0.0,0.7,12.0,13.393,36.0,40.178,,,,,36972.0,1325.0,41.263,1.479,2352.0,2.625,0.0067,149.7,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57641,CYP,Europe,Cyprus,2020-04-22,784.0,12.0,12.714,12.0,0.0,0.0,874.993,13.393,14.19,13.393,0.0,0.0,0.69,11.0,12.277,34.0,37.946,,,,,38413.0,1441.0,42.871,1.608,2228.0,2.487,0.0057,175.2,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57642,CYP,Europe,Cyprus,2020-04-23,790.0,6.0,10.714,14.0,2.0,0.286,881.69,6.696,11.958,15.625,2.232,0.319,0.68,10.0,11.161,31.0,34.598,,,,,40735.0,2322.0,45.463,2.591,2144.0,2.393,0.005,200.1,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57643,CYP,Europe,Cyprus,2020-04-24,795.0,5.0,8.571,14.0,0.0,0.286,887.27,5.58,9.566,15.625,0.0,0.319,0.67,9.0,10.045,32.0,35.714,,,,,43433.0,2698.0,48.474,3.011,2067.0,2.307,0.0041,241.2,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57644,CYP,Europe,Cyprus,2020-04-25,804.0,9.0,9.857,14.0,0.0,0.286,897.314,10.045,11.001,15.625,0.0,0.319,0.67,9.0,10.045,33.0,36.83,,,,,45900.0,2467.0,51.227,2.753,1961.0,2.189,0.005,198.9,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
57645,CYP,Europe,Cyprus,2020-04-26,810.0,6.0,7.0,14.0,0.0,0.286,904.011,6.696,7.812,15.625,0.0,0.319,0.67,9.0,10.045,30.0,33.482,2.0,2.232,6.0,6.696,48315.0,2415.0,53.923,2.695,2048.0,2.286,0.0034,292.6,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,34.499992,1.49,-5.57,27.87788
57646,CYP,Europe,Cyprus,2020-04-27,817.0,7.0,7.143,14.0,0.0,0.286,911.823,7.812,7.972,15.625,0.0,0.319,0.67,7.0,7.812,29.0,32.366,,,,,50111.0,1796.0,55.927,2.004,2066.0,2.306,0.0035,289.2,tests performed,,,,,,,,,,,,,,94.44,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
