,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
63080,DMA,North America,Dominica,2020-03-22,1.0,1.0,,,,,13.744,13.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63081,DMA,North America,Dominica,2020-03-23,2.0,1.0,,,,,27.488,13.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63082,DMA,North America,Dominica,2020-03-24,2.0,0.0,,,,,27.488,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63083,DMA,North America,Dominica,2020-03-25,7.0,5.0,,,,,96.209,68.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63084,DMA,North America,Dominica,2020-03-26,11.0,4.0,,,,,151.186,54.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63085,DMA,North America,Dominica,2020-03-27,11.0,0.0,1.571,,,,151.186,0.0,21.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63086,DMA,North America,Dominica,2020-03-28,11.0,0.0,1.571,,,,151.186,0.0,21.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63087,DMA,North America,Dominica,2020-03-29,11.0,0.0,1.429,,,,151.186,0.0,19.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63088,DMA,North America,Dominica,2020-03-30,11.0,0.0,1.286,,,,151.186,0.0,17.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63089,DMA,North America,Dominica,2020-03-31,12.0,1.0,1.429,,,,164.93,13.744,19.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63090,DMA,North America,Dominica,2020-04-01,12.0,0.0,0.714,,,,164.93,0.0,9.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63091,DMA,North America,Dominica,2020-04-02,12.0,0.0,0.143,,,,164.93,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63092,DMA,North America,Dominica,2020-04-03,12.0,0.0,0.143,,,,164.93,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63093,DMA,North America,Dominica,2020-04-04,14.0,2.0,0.429,,,,192.419,27.488,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63094,DMA,North America,Dominica,2020-04-05,14.0,0.0,0.429,,,,192.419,0.0,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63095,DMA,North America,Dominica,2020-04-06,15.0,1.0,0.571,,,,206.163,13.744,7.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63096,DMA,North America,Dominica,2020-04-07,15.0,0.0,0.429,,,,206.163,0.0,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63097,DMA,North America,Dominica,2020-04-08,15.0,0.0,0.429,,,,206.163,0.0,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63098,DMA,North America,Dominica,2020-04-09,15.0,0.0,0.429,,,,206.163,0.0,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63099,DMA,North America,Dominica,2020-04-10,16.0,1.0,0.571,,,,219.907,13.744,7.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63100,DMA,North America,Dominica,2020-04-11,16.0,0.0,0.286,,,,219.907,0.0,3.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63101,DMA,North America,Dominica,2020-04-12,16.0,0.0,0.286,,,,219.907,0.0,3.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63102,DMA,North America,Dominica,2020-04-13,16.0,0.0,0.143,,,,219.907,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63103,DMA,North America,Dominica,2020-04-14,16.0,0.0,0.143,,,,219.907,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63104,DMA,North America,Dominica,2020-04-15,16.0,0.0,0.143,,,,219.907,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63105,DMA,North America,Dominica,2020-04-16,16.0,0.0,0.143,,,,219.907,0.0,1.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63106,DMA,North America,Dominica,2020-04-17,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63107,DMA,North America,Dominica,2020-04-18,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63108,DMA,North America,Dominica,2020-04-19,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63109,DMA,North America,Dominica,2020-04-20,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63110,DMA,North America,Dominica,2020-04-21,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63111,DMA,North America,Dominica,2020-04-22,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63112,DMA,North America,Dominica,2020-04-23,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63113,DMA,North America,Dominica,2020-04-24,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63114,DMA,North America,Dominica,2020-04-25,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63115,DMA,North America,Dominica,2020-04-26,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63116,DMA,North America,Dominica,2020-04-27,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63117,DMA,North America,Dominica,2020-04-28,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63118,DMA,North America,Dominica,2020-04-29,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63119,DMA,North America,Dominica,2020-04-30,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63120,DMA,North America,Dominica,2020-05-01,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63121,DMA,North America,Dominica,2020-05-02,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63122,DMA,North America,Dominica,2020-05-03,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63123,DMA,North America,Dominica,2020-05-04,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63124,DMA,North America,Dominica,2020-05-05,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63125,DMA,North America,Dominica,2020-05-06,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63126,DMA,North America,Dominica,2020-05-07,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63127,DMA,North America,Dominica,2020-05-08,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63128,DMA,North America,Dominica,2020-05-09,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63129,DMA,North America,Dominica,2020-05-10,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63130,DMA,North America,Dominica,2020-05-11,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63131,DMA,North America,Dominica,2020-05-12,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63132,DMA,North America,Dominica,2020-05-13,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63133,DMA,North America,Dominica,2020-05-14,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63134,DMA,North America,Dominica,2020-05-15,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63135,DMA,North America,Dominica,2020-05-16,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63136,DMA,North America,Dominica,2020-05-17,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63137,DMA,North America,Dominica,2020-05-18,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63138,DMA,North America,Dominica,2020-05-19,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63139,DMA,North America,Dominica,2020-05-20,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63140,DMA,North America,Dominica,2020-05-21,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63141,DMA,North America,Dominica,2020-05-22,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63142,DMA,North America,Dominica,2020-05-23,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63143,DMA,North America,Dominica,2020-05-24,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63144,DMA,North America,Dominica,2020-05-25,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63145,DMA,North America,Dominica,2020-05-26,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63146,DMA,North America,Dominica,2020-05-27,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
63147,DMA,North America,Dominica,2020-05-28,16.0,0.0,0.0,,,,219.907,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
