,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
77354,FRO,Europe,Faeroe Islands,2020-03-04,1.0,1.0,,,,,18.826,18.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77355,FRO,Europe,Faeroe Islands,2020-03-05,1.0,0.0,,,,,18.826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77356,FRO,Europe,Faeroe Islands,2020-03-06,1.0,0.0,,,,,18.826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77357,FRO,Europe,Faeroe Islands,2020-03-07,1.0,0.0,,,,,18.826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77358,FRO,Europe,Faeroe Islands,2020-03-08,2.0,1.0,,,,,37.653,18.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77359,FRO,Europe,Faeroe Islands,2020-03-09,2.0,0.0,0.286,,,,37.653,0.0,5.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77360,FRO,Europe,Faeroe Islands,2020-03-10,2.0,0.0,0.286,,,,37.653,0.0,5.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77361,FRO,Europe,Faeroe Islands,2020-03-11,2.0,0.0,0.143,,,,37.653,0.0,2.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77362,FRO,Europe,Faeroe Islands,2020-03-12,2.0,0.0,0.143,,,,37.653,0.0,2.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
77363,FRO,Europe,Faeroe Islands,2020-03-13,3.0,1.0,0.286,,,,56.479,18.826,5.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
