,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
78449,FLK,South America,Falkland Islands,2020-04-04,1.0,1.0,,,,,263.089,263.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78450,FLK,South America,Falkland Islands,2020-04-05,2.0,1.0,,,,,526.177,263.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78451,FLK,South America,Falkland Islands,2020-04-06,2.0,0.0,,,,,526.177,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78452,FLK,South America,Falkland Islands,2020-04-07,2.0,0.0,,,,,526.177,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78453,FLK,South America,Falkland Islands,2020-04-08,5.0,3.0,,,,,1315.443,789.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78454,FLK,South America,Falkland Islands,2020-04-09,5.0,0.0,0.714,,,,1315.443,0.0,187.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78455,FLK,South America,Falkland Islands,2020-04-10,5.0,0.0,0.714,,,,1315.443,0.0,187.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78456,FLK,South America,Falkland Islands,2020-04-11,5.0,0.0,0.571,,,,1315.443,0.0,150.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78457,FLK,South America,Falkland Islands,2020-04-12,5.0,0.0,0.429,,,,1315.443,0.0,112.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78458,FLK,South America,Falkland Islands,2020-04-13,5.0,0.0,0.429,,,,1315.443,0.0,112.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78459,FLK,South America,Falkland Islands,2020-04-14,11.0,6.0,1.286,,,,2893.975,1578.532,338.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78460,FLK,South America,Falkland Islands,2020-04-15,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78461,FLK,South America,Falkland Islands,2020-04-16,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78462,FLK,South America,Falkland Islands,2020-04-17,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78463,FLK,South America,Falkland Islands,2020-04-18,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78464,FLK,South America,Falkland Islands,2020-04-19,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78465,FLK,South America,Falkland Islands,2020-04-20,11.0,0.0,0.857,,,,2893.975,0.0,225.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78466,FLK,South America,Falkland Islands,2020-04-21,11.0,0.0,0.0,,,,2893.975,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78467,FLK,South America,Falkland Islands,2020-04-22,11.0,0.0,0.0,,,,2893.975,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78468,FLK,South America,Falkland Islands,2020-04-23,12.0,1.0,0.143,,,,3157.064,263.089,37.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78469,FLK,South America,Falkland Islands,2020-04-24,13.0,1.0,0.286,,,,3420.153,263.089,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78470,FLK,South America,Falkland Islands,2020-04-25,13.0,0.0,0.286,,,,3420.153,0.0,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78471,FLK,South America,Falkland Islands,2020-04-26,13.0,0.0,0.286,,,,3420.153,0.0,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78472,FLK,South America,Falkland Islands,2020-04-27,13.0,0.0,0.286,,,,3420.153,0.0,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78473,FLK,South America,Falkland Islands,2020-04-28,13.0,0.0,0.286,,,,3420.153,0.0,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78474,FLK,South America,Falkland Islands,2020-04-29,13.0,0.0,0.286,,,,3420.153,0.0,75.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78475,FLK,South America,Falkland Islands,2020-04-30,13.0,0.0,0.143,,,,3420.153,0.0,37.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78476,FLK,South America,Falkland Islands,2020-05-01,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78477,FLK,South America,Falkland Islands,2020-05-02,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78478,FLK,South America,Falkland Islands,2020-05-03,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78479,FLK,South America,Falkland Islands,2020-05-04,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78480,FLK,South America,Falkland Islands,2020-05-05,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78481,FLK,South America,Falkland Islands,2020-05-06,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78482,FLK,South America,Falkland Islands,2020-05-07,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78483,FLK,South America,Falkland Islands,2020-05-08,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78484,FLK,South America,Falkland Islands,2020-05-09,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78485,FLK,South America,Falkland Islands,2020-05-10,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78486,FLK,South America,Falkland Islands,2020-05-11,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78487,FLK,South America,Falkland Islands,2020-05-12,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78488,FLK,South America,Falkland Islands,2020-05-13,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78489,FLK,South America,Falkland Islands,2020-05-14,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78490,FLK,South America,Falkland Islands,2020-05-15,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78491,FLK,South America,Falkland Islands,2020-05-16,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78492,FLK,South America,Falkland Islands,2020-05-17,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
78493,FLK,South America,Falkland Islands,2020-05-18,13.0,0.0,0.0,,,,3420.153,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
