,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
83993,GAB,Africa,Gabon,2020-03-14,1.0,1.0,,,,,0.419,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83994,GAB,Africa,Gabon,2020-03-15,1.0,0.0,,,,,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83995,GAB,Africa,Gabon,2020-03-16,1.0,0.0,,,,,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83996,GAB,Africa,Gabon,2020-03-17,1.0,0.0,,,,,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83997,GAB,Africa,Gabon,2020-03-18,1.0,0.0,,,,,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83998,GAB,Africa,Gabon,2020-03-19,1.0,0.0,0.143,,,,0.419,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
83999,GAB,Africa,Gabon,2020-03-20,3.0,2.0,0.429,1.0,1.0,,1.256,0.837,0.179,0.419,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
84000,GAB,Africa,Gabon,2020-03-21,4.0,1.0,0.429,1.0,0.0,,1.674,0.419,0.179,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
84001,GAB,Africa,Gabon,2020-03-22,5.0,1.0,0.571,1.0,0.0,,2.093,0.419,0.239,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
84002,GAB,Africa,Gabon,2020-03-23,5.0,0.0,0.571,1.0,0.0,,2.093,0.0,0.239,0.419,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
