,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
86160,GEO,Asia,Georgia,2020-02-26,1.0,1.0,,,,,0.267,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86161,GEO,Asia,Georgia,2020-02-27,1.0,0.0,,,,,0.267,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86162,GEO,Asia,Georgia,2020-02-28,1.0,0.0,,,,,0.267,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86163,GEO,Asia,Georgia,2020-02-29,1.0,0.0,,,,,0.267,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,304.8,3.6,6.72,80.93657
86164,GEO,Asia,Georgia,2020-03-01,3.0,2.0,,,,,0.801,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86165,GEO,Asia,Georgia,2020-03-02,3.0,0.0,0.429,,,,0.801,0.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86166,GEO,Asia,Georgia,2020-03-03,3.0,0.0,0.429,,,,0.801,0.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86167,GEO,Asia,Georgia,2020-03-04,3.0,0.0,0.286,,,,0.801,0.0,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86168,GEO,Asia,Georgia,2020-03-05,4.0,1.0,0.429,,,,1.068,0.267,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
86169,GEO,Asia,Georgia,2020-03-06,4.0,0.0,0.429,,,,1.068,0.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
