,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
88394,GHA,Africa,Ghana,2020-03-14,3.0,3.0,,,,,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88395,GHA,Africa,Ghana,2020-03-15,6.0,3.0,,,,,0.179,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88396,GHA,Africa,Ghana,2020-03-16,6.0,0.0,,,,,0.179,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88397,GHA,Africa,Ghana,2020-03-17,7.0,1.0,,,,,0.209,0.03,,,,,,,,,,,,,,143.0,,0.004,,,,,,tests performed,,,,,,,,,,,,,,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88398,GHA,Africa,Ghana,2020-03-18,7.0,0.0,,,,,0.209,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88399,GHA,Africa,Ghana,2020-03-19,11.0,4.0,1.571,,,,0.329,0.119,0.047,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88400,GHA,Africa,Ghana,2020-03-20,16.0,5.0,2.286,,,,0.478,0.149,0.068,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88401,GHA,Africa,Ghana,2020-03-21,19.0,3.0,2.286,1.0,1.0,,0.568,0.09,0.068,0.03,0.03,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,50.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88402,GHA,Africa,Ghana,2020-03-22,23.0,4.0,2.429,1.0,0.0,,0.687,0.119,0.073,0.03,0.0,,,,,,,,,,,315.0,,0.01,,,,,,tests performed,,,,,,,,,,,,,,52.78,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
88403,GHA,Africa,Ghana,2020-03-23,27.0,4.0,3.0,2.0,1.0,,0.807,0.119,0.09,0.06,0.03,,,,,,,,,,,521.0,206.0,0.016,0.006,,,,,tests performed,,,,,,,,,,,,,,52.78,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
