,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
92759,GRD,North America,Grenada,2020-03-22,1.0,1.0,,,,,7.971,7.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92760,GRD,North America,Grenada,2020-03-23,1.0,0.0,,,,,7.971,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92761,GRD,North America,Grenada,2020-03-24,1.0,0.0,,,,,7.971,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92762,GRD,North America,Grenada,2020-03-25,1.0,0.0,,,,,7.971,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92763,GRD,North America,Grenada,2020-03-26,7.0,6.0,,,,,55.795,47.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92764,GRD,North America,Grenada,2020-03-27,7.0,0.0,1.0,,,,55.795,0.0,7.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92765,GRD,North America,Grenada,2020-03-28,7.0,0.0,1.0,,,,55.795,0.0,7.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92766,GRD,North America,Grenada,2020-03-29,9.0,2.0,1.143,,,,71.737,15.941,9.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92767,GRD,North America,Grenada,2020-03-30,9.0,0.0,1.143,,,,71.737,0.0,9.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92768,GRD,North America,Grenada,2020-03-31,9.0,0.0,1.143,,,,71.737,0.0,9.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92769,GRD,North America,Grenada,2020-04-01,9.0,0.0,1.143,,,,71.737,0.0,9.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92770,GRD,North America,Grenada,2020-04-02,10.0,1.0,0.429,,,,79.707,7.971,3.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92771,GRD,North America,Grenada,2020-04-03,12.0,2.0,0.714,,,,95.649,15.941,5.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92772,GRD,North America,Grenada,2020-04-04,12.0,0.0,0.714,,,,95.649,0.0,5.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92773,GRD,North America,Grenada,2020-04-05,12.0,0.0,0.429,,,,95.649,0.0,3.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92774,GRD,North America,Grenada,2020-04-06,12.0,0.0,0.429,,,,95.649,0.0,3.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92775,GRD,North America,Grenada,2020-04-07,12.0,0.0,0.429,,,,95.649,0.0,3.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92776,GRD,North America,Grenada,2020-04-08,12.0,0.0,0.429,,,,95.649,0.0,3.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92777,GRD,North America,Grenada,2020-04-09,12.0,0.0,0.286,,,,95.649,0.0,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92778,GRD,North America,Grenada,2020-04-10,14.0,2.0,0.286,,,,111.59,15.941,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92779,GRD,North America,Grenada,2020-04-11,14.0,0.0,0.286,,,,111.59,0.0,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92780,GRD,North America,Grenada,2020-04-12,14.0,0.0,0.286,,,,111.59,0.0,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92781,GRD,North America,Grenada,2020-04-13,14.0,0.0,0.286,,,,111.59,0.0,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
92782,GRD,North America,Grenada,2020-04-14,14.0,0.0,0.286,,,,111.59,0.0,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
