,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
93836,GUM,Oceania,Guam,2020-03-12,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.023,0.023,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93837,GUM,Oceania,Guam,2020-03-13,,,,,,,,,,,,,,,,,,,,,,16.0,12.0,0.094,0.07,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93838,GUM,Oceania,Guam,2020-03-14,,,,,,,,,,,,,,,,,,,,,,22.0,6.0,0.129,0.035,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93839,GUM,Oceania,Guam,2020-03-15,,,,,,,,,,,,,,,,,,,,,,30.0,8.0,0.176,0.047,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93840,GUM,Oceania,Guam,2020-03-16,,,,,,,,,,,,,,,,,,,,,,60.0,30.0,0.352,0.176,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93841,GUM,Oceania,Guam,2020-03-17,,,,,,,,,,,,,,,,,,,,,,96.0,36.0,0.563,0.211,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93842,GUM,Oceania,Guam,2020-03-18,,,,,,,,,,,,,,,,,,,,,,136.0,40.0,0.797,0.235,,,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93843,GUM,Oceania,Guam,2020-03-19,,,,,,,,,,,,,,,,,,,,,,171.0,35.0,1.003,0.205,24.0,0.141,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93844,GUM,Oceania,Guam,2020-03-20,,,,,,,,,,,,,,,,,,,,,,211.0,40.0,1.237,0.235,28.0,0.164,,,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93845,GUM,Oceania,Guam,2020-03-21,,,,,,,,,,,,,,,,,,,,,,257.0,46.0,1.507,0.27,34.0,0.199,0.149,6.7,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93846,GUM,Oceania,Guam,2020-03-22,,,,,,,,,,,,,,,,,,,,,,323.0,66.0,1.894,0.387,42.0,0.246,0.188,5.3,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93847,GUM,Oceania,Guam,2020-03-23,,,,,,,,,,,,,,,,,,,,,,398.0,75.0,2.334,0.44,48.0,0.281,0.175,5.7,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93848,GUM,Oceania,Guam,2020-03-24,,,,,,,,,,,,,,,,,,,,,,472.0,74.0,2.768,0.434,54.0,0.317,0.157,6.4,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93849,GUM,Oceania,Guam,2020-03-25,,,,,,,,,,,,,,,,,,,,,,546.0,74.0,3.202,0.434,59.0,0.346,0.149,6.7,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93850,GUM,Oceania,Guam,2020-03-26,,,,,,,,,,,,,,,,,,,,,,628.0,82.0,3.683,0.481,65.0,0.381,0.149,6.7,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
93851,GUM,Oceania,Guam,2020-03-27,,,,,,,,,,,,,,,,,,,,,,707.0,79.0,4.146,0.463,71.0,0.416,0.147,6.8,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
