,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
100797,OWID_HIC,,High income,2020-01-22,6.0,0.0,,,0.0,,0.005,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100798,OWID_HIC,,High income,2020-01-23,12.0,6.0,,,0.0,,0.01,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100799,OWID_HIC,,High income,2020-01-24,21.0,9.0,,,0.0,,0.017,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100800,OWID_HIC,,High income,2020-01-25,25.0,4.0,,,0.0,,0.02,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100801,OWID_HIC,,High income,2020-01-26,43.0,18.0,,,0.0,,0.034,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100802,OWID_HIC,,High income,2020-01-27,49.0,6.0,6.143,,0.0,0.0,0.039,0.005,0.005,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100803,OWID_HIC,,High income,2020-01-28,63.0,14.0,8.143,,0.0,0.0,0.05,0.011,0.007,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100804,OWID_HIC,,High income,2020-01-29,73.0,10.0,9.571,,0.0,0.0,0.058,0.008,0.008,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100805,OWID_HIC,,High income,2020-01-30,84.0,11.0,10.286,1.0,1.0,0.143,0.067,0.009,0.008,0.001,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100806,OWID_HIC,,High income,2020-01-31,108.0,24.0,12.429,1.0,0.0,0.143,0.086,0.019,0.01,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100807,OWID_HIC,,High income,2020-02-01,127.0,19.0,14.571,1.0,0.0,0.143,0.102,0.015,0.012,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100808,OWID_HIC,,High income,2020-02-02,138.0,11.0,13.571,2.0,1.0,0.286,0.11,0.009,0.011,0.002,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100809,OWID_HIC,,High income,2020-02-03,149.0,11.0,14.286,2.0,0.0,0.286,0.119,0.009,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100810,OWID_HIC,,High income,2020-02-04,166.0,17.0,14.714,3.0,1.0,0.429,0.133,0.014,0.012,0.002,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100811,OWID_HIC,,High income,2020-02-05,180.0,14.0,15.286,3.0,0.0,0.429,0.144,0.011,0.012,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100812,OWID_HIC,,High income,2020-02-06,194.0,14.0,15.714,3.0,0.0,0.286,0.155,0.011,0.013,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100813,OWID_HIC,,High income,2020-02-07,203.0,9.0,13.571,3.0,0.0,0.286,0.162,0.007,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100814,OWID_HIC,,High income,2020-02-08,220.0,17.0,13.286,3.0,0.0,0.286,0.176,0.014,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100815,OWID_HIC,,High income,2020-02-09,235.0,15.0,13.857,3.0,0.0,0.143,0.188,0.012,0.011,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100816,OWID_HIC,,High income,2020-02-10,255.0,20.0,15.143,3.0,0.0,0.143,0.204,0.016,0.012,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100817,OWID_HIC,,High income,2020-02-11,275.0,20.0,15.571,3.0,0.0,0.0,0.22,0.016,0.012,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100818,OWID_HIC,,High income,2020-02-12,281.0,6.0,14.429,3.0,0.0,0.0,0.225,0.005,0.012,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
100819,OWID_HIC,,High income,2020-02-13,299.0,18.0,15.0,4.0,1.0,0.143,0.239,0.014,0.012,0.003,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600.0,,,,
