,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
101934,HND,North America,Honduras,2020-03-11,2.0,2.0,,,,,0.192,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101935,HND,North America,Honduras,2020-03-12,2.0,0.0,,,,,0.192,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101936,HND,North America,Honduras,2020-03-13,2.0,0.0,,,,,0.192,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101937,HND,North America,Honduras,2020-03-14,2.0,0.0,,,,,0.192,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101938,HND,North America,Honduras,2020-03-15,3.0,1.0,,,,,0.288,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101939,HND,North America,Honduras,2020-03-16,6.0,3.0,0.857,,,,0.575,0.288,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101940,HND,North America,Honduras,2020-03-17,8.0,2.0,1.143,,,,0.767,0.192,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101941,HND,North America,Honduras,2020-03-18,9.0,1.0,1.0,,,,0.863,0.096,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101942,HND,North America,Honduras,2020-03-19,12.0,3.0,1.429,,,,1.15,0.288,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
101943,HND,North America,Honduras,2020-03-20,24.0,12.0,3.143,,,,2.3,1.15,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
