,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
105254,ISL,Europe,Iceland,2020-02-28,1.0,1.0,,,,,2.682,2.682,,,,,,,,1.0,2.682,,,,,13.0,13.0,0.035,0.035,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105255,ISL,Europe,Iceland,2020-02-29,1.0,0.0,,,,,2.682,0.0,,,,,,,,1.0,2.682,,,,,45.0,32.0,0.122,0.086,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105256,ISL,Europe,Iceland,2020-03-01,3.0,2.0,,,,,8.045,5.363,,,,,,,,1.0,2.682,,,,,67.0,22.0,0.181,0.059,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,25.7,6.13,-2.93,70.08798
105257,ISL,Europe,Iceland,2020-03-02,6.0,3.0,,,,,16.09,8.045,,,,,,,,0.0,0.0,,,,,115.0,48.0,0.311,0.13,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105258,ISL,Europe,Iceland,2020-03-03,11.0,5.0,,,,,29.498,13.408,,,,,,,,0.0,0.0,,,,,160.0,45.0,0.432,0.122,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105259,ISL,Europe,Iceland,2020-03-04,26.0,15.0,3.714,,,,69.723,40.225,9.96,,,,,,,0.0,0.0,,,,,241.0,81.0,0.651,0.219,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105260,ISL,Europe,Iceland,2020-03-05,34.0,8.0,4.857,,,,91.177,21.453,13.025,,,,,,,1.0,2.682,,,,,303.0,62.0,0.818,0.167,,,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105261,ISL,Europe,Iceland,2020-03-06,43.0,9.0,6.0,,,,115.311,24.135,16.09,,,,,,,1.0,2.682,,,,,360.0,57.0,0.972,0.154,50.0,0.135,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105262,ISL,Europe,Iceland,2020-03-07,50.0,7.0,7.0,,,,134.083,18.772,18.772,,,,,,,1.0,2.682,,,,,418.0,58.0,1.129,0.157,53.0,0.143,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
105263,ISL,Europe,Iceland,2020-03-08,50.0,0.0,6.714,,,,134.083,0.0,18.005,,,,,,,1.0,2.682,,,,,455.0,37.0,1.229,0.1,55.0,0.149,,,tests performed,,,,,,,,,,,,,,16.67,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,30.6,6.59,10.86,83.45106
