,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
113013,IMN,Europe,Isle of Man,2020-03-20,1.0,1.0,,,,,11.83,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113014,IMN,Europe,Isle of Man,2020-03-21,1.0,0.0,,,,,11.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113015,IMN,Europe,Isle of Man,2020-03-22,5.0,4.0,,,,,59.148,47.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113016,IMN,Europe,Isle of Man,2020-03-23,13.0,8.0,,,,,153.784,94.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113017,IMN,Europe,Isle of Man,2020-03-24,23.0,10.0,,,,,272.08,118.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113018,IMN,Europe,Isle of Man,2020-03-25,23.0,0.0,3.286,,,,272.08,0.0,38.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113019,IMN,Europe,Isle of Man,2020-03-26,25.0,2.0,3.571,,,,295.739,23.659,42.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113020,IMN,Europe,Isle of Man,2020-03-27,29.0,4.0,4.0,,,,343.057,47.318,47.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113021,IMN,Europe,Isle of Man,2020-03-28,32.0,3.0,4.429,,,,378.546,35.489,52.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113022,IMN,Europe,Isle of Man,2020-03-29,42.0,10.0,5.286,,,,496.842,118.296,62.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113023,IMN,Europe,Isle of Man,2020-03-30,49.0,7.0,5.143,,,,579.648,82.807,60.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113024,IMN,Europe,Isle of Man,2020-03-31,60.0,11.0,5.286,,,,709.774,130.125,62.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113025,IMN,Europe,Isle of Man,2020-04-01,68.0,8.0,6.429,1.0,1.0,,804.41,94.636,76.047,11.83,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113026,IMN,Europe,Isle of Man,2020-04-02,95.0,27.0,10.0,1.0,0.0,,1123.808,319.398,118.296,11.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113027,IMN,Europe,Isle of Man,2020-04-03,114.0,19.0,12.143,1.0,0.0,,1348.57,224.762,143.645,11.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113028,IMN,Europe,Isle of Man,2020-04-04,126.0,12.0,13.429,1.0,0.0,,1490.525,141.955,158.854,11.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113029,IMN,Europe,Isle of Man,2020-04-05,127.0,1.0,12.143,1.0,0.0,,1502.354,11.83,143.645,11.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113030,IMN,Europe,Isle of Man,2020-04-06,139.0,12.0,12.857,1.0,0.0,0.143,1644.309,141.955,152.094,11.83,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113031,IMN,Europe,Isle of Man,2020-04-07,150.0,11.0,12.857,1.0,0.0,0.143,1774.434,130.125,152.094,11.83,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113032,IMN,Europe,Isle of Man,2020-04-08,158.0,8.0,12.857,1.0,0.0,0.0,1869.07,94.636,152.094,11.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113033,IMN,Europe,Isle of Man,2020-04-09,190.0,32.0,13.571,1.0,0.0,0.0,2247.616,378.546,160.544,11.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113034,IMN,Europe,Isle of Man,2020-04-10,201.0,11.0,12.429,1.0,0.0,0.0,2377.742,130.125,147.025,11.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113035,IMN,Europe,Isle of Man,2020-04-11,226.0,25.0,14.286,2.0,1.0,0.143,2673.48,295.739,168.994,23.659,11.83,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113036,IMN,Europe,Isle of Man,2020-04-12,228.0,2.0,14.429,2.0,0.0,0.143,2697.14,23.659,170.684,23.659,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113037,IMN,Europe,Isle of Man,2020-04-13,242.0,14.0,14.714,2.0,0.0,0.143,2862.753,165.614,174.064,23.659,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113038,IMN,Europe,Isle of Man,2020-04-14,254.0,12.0,14.857,2.0,0.0,0.143,3004.708,141.955,175.753,23.659,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113039,IMN,Europe,Isle of Man,2020-04-15,256.0,2.0,14.0,4.0,2.0,0.429,3028.367,23.659,165.614,47.318,23.659,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113040,IMN,Europe,Isle of Man,2020-04-16,284.0,28.0,13.429,4.0,0.0,0.429,3359.595,331.228,158.854,47.318,0.0,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113041,IMN,Europe,Isle of Man,2020-04-17,291.0,7.0,12.857,4.0,0.0,0.429,3442.402,82.807,152.094,47.318,0.0,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113042,IMN,Europe,Isle of Man,2020-04-18,297.0,6.0,10.143,6.0,2.0,0.571,3513.379,70.977,119.986,70.977,23.659,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113043,IMN,Europe,Isle of Man,2020-04-19,298.0,1.0,10.0,6.0,0.0,0.571,3525.209,11.83,118.296,70.977,0.0,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113044,IMN,Europe,Isle of Man,2020-04-20,300.0,2.0,8.286,9.0,3.0,1.0,3548.868,23.659,98.016,106.466,35.489,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113045,IMN,Europe,Isle of Man,2020-04-21,307.0,7.0,7.571,9.0,0.0,1.0,3631.675,82.807,89.567,106.466,0.0,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113046,IMN,Europe,Isle of Man,2020-04-22,307.0,0.0,7.286,15.0,6.0,1.571,3631.675,0.0,86.187,177.443,70.977,18.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113047,IMN,Europe,Isle of Man,2020-04-23,307.0,0.0,3.286,16.0,1.0,1.714,3631.675,0.0,38.869,189.273,11.83,20.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113048,IMN,Europe,Isle of Man,2020-04-24,308.0,1.0,2.429,18.0,2.0,2.0,3643.504,11.83,28.729,212.932,23.659,23.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113049,IMN,Europe,Isle of Man,2020-04-25,308.0,0.0,1.571,18.0,0.0,1.714,3643.504,0.0,18.589,212.932,0.0,20.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113050,IMN,Europe,Isle of Man,2020-04-26,308.0,0.0,1.429,18.0,0.0,1.714,3643.504,0.0,16.899,212.932,0.0,20.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113051,IMN,Europe,Isle of Man,2020-04-27,308.0,0.0,1.143,20.0,2.0,1.571,3643.504,0.0,13.519,236.591,23.659,18.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113052,IMN,Europe,Isle of Man,2020-04-28,309.0,1.0,0.286,21.0,1.0,1.714,3655.334,11.83,3.38,248.421,11.83,20.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113053,IMN,Europe,Isle of Man,2020-04-29,313.0,4.0,0.857,21.0,0.0,0.857,3702.652,47.318,10.14,248.421,0.0,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113054,IMN,Europe,Isle of Man,2020-04-30,315.0,2.0,1.143,21.0,0.0,0.714,3726.311,23.659,13.519,248.421,0.0,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113055,IMN,Europe,Isle of Man,2020-05-01,316.0,1.0,1.143,22.0,1.0,0.571,3738.141,11.83,13.519,260.25,11.83,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113056,IMN,Europe,Isle of Man,2020-05-02,320.0,4.0,1.714,22.0,0.0,0.571,3785.459,47.318,20.279,260.25,0.0,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113057,IMN,Europe,Isle of Man,2020-05-03,321.0,1.0,1.857,22.0,0.0,0.571,3797.289,11.83,21.969,260.25,0.0,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113058,IMN,Europe,Isle of Man,2020-05-04,325.0,4.0,2.429,23.0,1.0,0.429,3844.607,47.318,28.729,272.08,11.83,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113059,IMN,Europe,Isle of Man,2020-05-05,326.0,1.0,2.429,23.0,0.0,0.286,3856.436,11.83,28.729,272.08,0.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113060,IMN,Europe,Isle of Man,2020-05-06,327.0,1.0,2.0,23.0,0.0,0.286,3868.266,11.83,23.659,272.08,0.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113061,IMN,Europe,Isle of Man,2020-05-07,329.0,2.0,2.0,23.0,0.0,0.286,3891.925,23.659,23.659,272.08,0.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113062,IMN,Europe,Isle of Man,2020-05-08,329.0,0.0,1.857,23.0,0.0,0.143,3891.925,0.0,21.969,272.08,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113063,IMN,Europe,Isle of Man,2020-05-09,329.0,0.0,1.286,23.0,0.0,0.143,3891.925,0.0,15.209,272.08,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113064,IMN,Europe,Isle of Man,2020-05-10,330.0,1.0,1.286,23.0,0.0,0.143,3903.755,11.83,15.209,272.08,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113065,IMN,Europe,Isle of Man,2020-05-11,330.0,0.0,0.714,23.0,0.0,0.0,3903.755,0.0,8.45,272.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113066,IMN,Europe,Isle of Man,2020-05-12,331.0,1.0,0.714,23.0,0.0,0.0,3915.584,11.83,8.45,272.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113067,IMN,Europe,Isle of Man,2020-05-13,332.0,1.0,0.714,23.0,0.0,0.0,3927.414,11.83,8.45,272.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113068,IMN,Europe,Isle of Man,2020-05-14,332.0,0.0,0.429,23.0,0.0,0.0,3927.414,0.0,5.07,272.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113069,IMN,Europe,Isle of Man,2020-05-15,334.0,2.0,0.714,24.0,1.0,0.143,3951.073,23.659,8.45,283.909,11.83,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113070,IMN,Europe,Isle of Man,2020-05-16,335.0,1.0,0.857,24.0,0.0,0.143,3962.903,11.83,10.14,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113071,IMN,Europe,Isle of Man,2020-05-17,335.0,0.0,0.714,24.0,0.0,0.143,3962.903,0.0,8.45,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113072,IMN,Europe,Isle of Man,2020-05-18,335.0,0.0,0.714,24.0,0.0,0.143,3962.903,0.0,8.45,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113073,IMN,Europe,Isle of Man,2020-05-19,335.0,0.0,0.571,24.0,0.0,0.143,3962.903,0.0,6.76,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113074,IMN,Europe,Isle of Man,2020-05-20,336.0,1.0,0.571,24.0,0.0,0.143,3974.732,11.83,6.76,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113075,IMN,Europe,Isle of Man,2020-05-21,336.0,0.0,0.571,24.0,0.0,0.143,3974.732,0.0,6.76,283.909,0.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
113076,IMN,Europe,Isle of Man,2020-05-22,336.0,0.0,0.286,24.0,0.0,0.0,3974.732,0.0,3.38,283.909,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
