,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
116328,JAM,North America,Jamaica,2020-03-11,1.0,1.0,,,,,0.354,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116329,JAM,North America,Jamaica,2020-03-12,2.0,1.0,,,,,0.707,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116330,JAM,North America,Jamaica,2020-03-13,8.0,6.0,,,,,2.829,2.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116331,JAM,North America,Jamaica,2020-03-14,8.0,0.0,,,,,2.829,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116332,JAM,North America,Jamaica,2020-03-15,10.0,2.0,,,,,3.537,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116333,JAM,North America,Jamaica,2020-03-16,10.0,0.0,1.429,,,,3.537,0.0,0.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116334,JAM,North America,Jamaica,2020-03-17,12.0,2.0,1.714,,,,4.244,0.707,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116335,JAM,North America,Jamaica,2020-03-18,13.0,1.0,1.714,,,,4.598,0.354,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116336,JAM,North America,Jamaica,2020-03-19,15.0,2.0,1.857,1.0,1.0,,5.305,0.707,0.657,0.354,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116337,JAM,North America,Jamaica,2020-03-20,16.0,1.0,1.143,1.0,0.0,,5.659,0.354,0.404,0.354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116338,JAM,North America,Jamaica,2020-03-21,16.0,0.0,1.143,1.0,0.0,,5.659,0.0,0.404,0.354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116339,JAM,North America,Jamaica,2020-03-22,19.0,3.0,1.286,1.0,0.0,,6.72,1.061,0.455,0.354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116340,JAM,North America,Jamaica,2020-03-23,19.0,0.0,1.286,1.0,0.0,,6.72,0.0,0.455,0.354,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116341,JAM,North America,Jamaica,2020-03-24,21.0,2.0,1.286,1.0,0.0,0.143,7.427,0.707,0.455,0.354,0.0,0.051,,,,,,,,,,148.0,,0.052,,,,,,samples tested,,,,,,,,,,,,,,74.07,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116342,JAM,North America,Jamaica,2020-03-25,26.0,5.0,1.857,1.0,0.0,0.143,9.196,1.768,0.657,0.354,0.0,0.051,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,75.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
116343,JAM,North America,Jamaica,2020-03-26,26.0,0.0,1.571,1.0,0.0,0.0,9.196,0.0,0.556,0.354,0.0,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,75.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
