,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
118553,JEY,Europe,Jersey,2021-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45758.0,40137.0,5621.0,,,,41.3,36.23,5.07,,,,,,,,,,,,,,,,,,,,110796.0,,,,
118554,JEY,Europe,Jersey,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118555,JEY,Europe,Jersey,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118556,JEY,Europe,Jersey,2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118557,JEY,Europe,Jersey,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118558,JEY,Europe,Jersey,2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118559,JEY,Europe,Jersey,2021-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,,,,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118560,JEY,Europe,Jersey,2021-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52265.0,43136.0,9129.0,,,930.0,47.17,38.93,8.24,,8394.0,428.0,0.386,,,,,,,,,,,,,,,,110796.0,,,,
118561,JEY,Europe,Jersey,2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.0,,,,,8457.0,391.0,0.353,,,,,,,,,,,,,,,,110796.0,,,,
118562,JEY,Europe,Jersey,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,,,,,8520.0,354.0,0.32,,,,,,,,,,,,,,,,110796.0,,,,
118563,JEY,Europe,Jersey,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0,,,,,8592.0,317.0,0.286,,,,,,,,,,,,,,,,110796.0,,,,
118564,JEY,Europe,Jersey,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.0,,,,,8656.0,280.0,0.253,,,,,,,,,,,,,,,,110796.0,,,,
118565,JEY,Europe,Jersey,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.0,,,,,8719.0,243.0,0.219,,,,,,,,,,,,,,,,110796.0,,,,
118566,JEY,Europe,Jersey,2021-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,,,,,8791.0,206.0,0.186,,,,,,,,,,,,,,,,110796.0,,,,
118567,JEY,Europe,Jersey,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59132.0,44318.0,14814.0,,,981.0,53.37,40.0,13.37,,8854.0,169.0,0.153,,,,,,,,,,,,,,,,110796.0,,,,
118568,JEY,Europe,Jersey,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,,,,,9179.0,158.0,0.143,,,,,,,,,,,,,,,,110796.0,,,,
118569,JEY,Europe,Jersey,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.0,,,,,9504.0,148.0,0.134,,,,,,,,,,,,,,,,110796.0,,,,
118570,JEY,Europe,Jersey,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.0,,,,,9829.0,137.0,0.124,,,,,,,,,,,,,,,,110796.0,,,,
