,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
130749,LBR,Africa,Liberia,2020-03-17,5.0,5.0,,,,,0.943,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130750,LBR,Africa,Liberia,2020-03-18,6.0,1.0,,,,,1.132,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130751,LBR,Africa,Liberia,2020-03-19,6.0,0.0,,,,,1.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130752,LBR,Africa,Liberia,2020-03-20,6.0,0.0,,,,,1.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130753,LBR,Africa,Liberia,2020-03-21,3.0,,,,,,0.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130754,LBR,Africa,Liberia,2020-03-22,3.0,0.0,,,,,0.566,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130755,LBR,Africa,Liberia,2020-03-23,3.0,0.0,0.857,,,,0.566,0.0,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130756,LBR,Africa,Liberia,2020-03-24,3.0,0.0,0.143,,,,0.566,0.0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130757,LBR,Africa,Liberia,2020-03-25,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130758,LBR,Africa,Liberia,2020-03-26,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130759,LBR,Africa,Liberia,2020-03-27,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130760,LBR,Africa,Liberia,2020-03-28,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130761,LBR,Africa,Liberia,2020-03-29,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130762,LBR,Africa,Liberia,2020-03-30,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130763,LBR,Africa,Liberia,2020-03-31,3.0,0.0,0.0,,,,0.566,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
130764,LBR,Africa,Liberia,2020-04-01,6.0,3.0,0.429,,,,1.132,0.566,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
