,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
134021,LTU,Europe,Lithuania,2020-03-19,1.0,1.0,,,,,0.364,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134022,LTU,Europe,Lithuania,2020-03-20,1.0,0.0,,,,,0.364,0.0,,,,,,,,,,,,,,137.0,137.0,0.049,0.049,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134023,LTU,Europe,Lithuania,2020-03-21,7.0,6.0,,,,,2.545,2.182,,,,,,,,,,,,,,473.0,336.0,0.17,0.121,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134024,LTU,Europe,Lithuania,2020-03-22,44.0,37.0,,,,,16.0,13.454,,,,,,,,,,,,,,749.0,276.0,0.269,0.099,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,-519.4,-5.24,6.28,-184.16684
134025,LTU,Europe,Lithuania,2020-03-23,58.0,14.0,,,,,21.09,5.091,,,,,,,,,,,,,,978.0,229.0,0.351,0.082,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134026,LTU,Europe,Lithuania,2020-03-24,88.0,30.0,12.571,1.0,1.0,,31.999,10.909,4.571,0.364,0.364,,,,,,,,,,,1381.0,403.0,0.496,0.145,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134027,LTU,Europe,Lithuania,2020-03-25,112.0,24.0,16.0,2.0,1.0,,40.726,8.727,5.818,0.727,0.364,,,,,,,,,,,2090.0,709.0,0.75,0.254,,,,,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134028,LTU,Europe,Lithuania,2020-03-26,167.0,55.0,23.714,3.0,1.0,,60.726,20.0,8.623,1.091,0.364,,1.7,,,,,,,,,2582.0,492.0,0.927,0.177,,,0.072,13.9,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134029,LTU,Europe,Lithuania,2020-03-27,183.0,16.0,26.0,4.0,1.0,,66.544,5.818,9.454,1.455,0.364,,1.66,,,,,,,,,3723.0,1141.0,1.336,0.409,512.0,0.184,0.063,15.9,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134030,LTU,Europe,Lithuania,2020-03-28,227.0,44.0,31.429,4.0,0.0,,82.544,16.0,11.428,1.455,0.0,,1.64,,,,,,,,,4738.0,1015.0,1.7,0.364,609.0,0.219,0.057,17.5,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134031,LTU,Europe,Lithuania,2020-03-29,263.0,36.0,31.286,4.0,0.0,0.571,95.634,13.091,11.376,1.455,0.0,0.208,1.61,,,,,,,,,5741.0,1003.0,2.06,0.36,713.0,0.256,0.046,21.7,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,-441.90002,-4.15,10.49,-156.6872
134032,LTU,Europe,Lithuania,2020-03-30,280.0,17.0,31.714,4.0,0.0,0.571,101.816,6.182,11.532,1.455,0.0,0.208,1.59,,,,,,,,,7322.0,1581.0,2.628,0.567,906.0,0.325,0.044,22.7,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134033,LTU,Europe,Lithuania,2020-03-31,353.0,73.0,37.857,4.0,0.0,0.429,128.361,26.545,13.766,1.455,0.0,0.156,1.58,,,,,,,,,8559.0,1237.0,3.071,0.444,1025.0,0.368,0.042,23.8,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134034,LTU,Europe,Lithuania,2020-04-01,397.0,44.0,40.714,6.0,2.0,0.571,144.361,16.0,14.805,2.182,0.727,0.208,1.52,,,,,,,,,11082.0,2523.0,3.977,0.905,1285.0,0.461,0.036,27.8,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
134035,LTU,Europe,Lithuania,2020-04-02,470.0,73.0,43.286,6.0,0.0,0.429,170.905,26.545,15.74,2.182,0.0,0.156,1.46,,,,,,,,,13463.0,2381.0,4.831,0.854,1554.0,0.558,0.034,29.4,tests performed,,,,,,,,,,,,,,81.48,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
