,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
137343,LUX,Europe,Luxembourg,2020-02-12,,,,,,,,,,,,,,,,,,,,1.0,1.575,,,,,,,,,,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137344,LUX,Europe,Luxembourg,2020-02-24,,,,,,,,,,,,,,0.0,0.0,,,,,,,2.0,,0.003,,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137345,LUX,Europe,Luxembourg,2020-02-25,,,,,,,,,,,,,,0.0,0.0,,,,,,,9.0,7.0,0.014,0.011,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137346,LUX,Europe,Luxembourg,2020-02-26,,,,,,,,,,,,,,0.0,0.0,,,,,,,11.0,2.0,0.017,0.003,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137347,LUX,Europe,Luxembourg,2020-02-27,,,,,,,,,,,,,,0.0,0.0,,,,,,,12.0,1.0,0.019,0.002,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137348,LUX,Europe,Luxembourg,2020-02-28,,,,,,,,,,,,,,0.0,0.0,,,,,,,16.0,4.0,0.025,0.006,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137349,LUX,Europe,Luxembourg,2020-02-29,1.0,1.0,,,,,1.544,1.544,,,,,,0.0,0.0,,,,,,,17.0,1.0,0.027,0.002,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137350,LUX,Europe,Luxembourg,2020-03-01,1.0,0.0,,,,,1.544,0.0,,,,,,0.0,0.0,,,1.0,1.575,2.0,3.151,,,,,,,,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,-146.59999,-16.67,-20.77,-232.55038
137351,LUX,Europe,Luxembourg,2020-03-02,1.0,0.0,,,,,1.544,0.0,,,,,,0.0,0.0,,,,,,,21.0,,0.033,,3.0,0.005,0.0,,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137352,LUX,Europe,Luxembourg,2020-03-03,1.0,0.0,,,,,1.544,0.0,,,,,,0.0,0.0,,,,,,,23.0,2.0,0.036,0.003,2.0,0.003,0.048,20.8,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137353,LUX,Europe,Luxembourg,2020-03-04,1.0,0.0,,,,,1.544,0.0,,,,,,0.0,0.0,,,,,,,24.0,1.0,0.038,0.002,2.0,0.003,0.067,14.9,tests performed,,,,,,,,,,,,,,0.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137354,LUX,Europe,Luxembourg,2020-03-05,1.0,0.0,0.143,,,,1.544,0.0,0.221,,,,,0.0,0.0,,,,,,,29.0,5.0,0.045,0.008,2.0,0.003,0.111,9.0,tests performed,,,,,,,,,,,,,,11.11,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137355,LUX,Europe,Luxembourg,2020-03-06,2.0,1.0,0.286,,,,3.088,1.544,0.441,,,,,0.0,0.0,,,,,,,35.0,6.0,0.055,0.009,3.0,0.005,0.087,11.5,tests performed,,,,,,,,,,,,,,11.11,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
137356,LUX,Europe,Luxembourg,2020-03-07,2.0,0.0,0.143,,,,3.088,0.0,0.221,,,,,0.0,0.0,,,,,,,41.0,6.0,0.064,0.009,3.0,0.005,0.12,8.3,tests performed,,,,,,,,,,,,,,11.11,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
