,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
141734,MYS,Asia,Malaysia,2020-01-24,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141735,MYS,Asia,Malaysia,2020-01-25,4.0,4.0,,,,,0.118,0.118,,,,,,,,,,,,,,7.0,5.0,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141736,MYS,Asia,Malaysia,2020-01-26,4.0,0.0,,,,,0.118,0.0,,,,,,,,,,,,,,21.0,14.0,0.001,0.0,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141737,MYS,Asia,Malaysia,2020-01-27,4.0,0.0,,,,,0.118,0.0,,,,,,,,,,,,,,45.0,24.0,0.001,0.001,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141738,MYS,Asia,Malaysia,2020-01-28,4.0,0.0,,,,,0.118,0.0,,,,,,,,,,,,,,98.0,53.0,0.003,0.002,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141739,MYS,Asia,Malaysia,2020-01-29,7.0,3.0,,,,,0.206,0.088,,,,,,,,,,,,,,169.0,71.0,0.005,0.002,,,,,people tested,,,,,,,,,,,,,,11.11,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141740,MYS,Asia,Malaysia,2020-01-30,8.0,1.0,1.143,,,,0.236,0.029,0.034,,,,,,,,,,,,,211.0,42.0,0.006,0.001,,,,,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141741,MYS,Asia,Malaysia,2020-01-31,8.0,0.0,1.143,,,,0.236,0.0,0.034,,,,,,,,,,,,,258.0,47.0,0.008,0.001,37.0,0.001,0.0309,32.4,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,580.5,3.76,3.76,17.484945
141742,MYS,Asia,Malaysia,2020-02-01,8.0,0.0,0.571,,,,0.236,0.0,0.017,,,,,,,,,,,,,286.0,28.0,0.009,0.001,40.0,0.001,0.0143,70.1,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141743,MYS,Asia,Malaysia,2020-02-02,8.0,0.0,0.571,,,,0.236,0.0,0.017,,,,,,,,,,,,,352.0,66.0,0.01,0.002,47.0,0.001,0.0121,82.3,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141744,MYS,Asia,Malaysia,2020-02-03,8.0,0.0,0.571,,,,0.236,0.0,0.017,,,,,,,,,,,,,393.0,41.0,0.012,0.001,50.0,0.001,0.0114,87.6,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141745,MYS,Asia,Malaysia,2020-02-04,10.0,2.0,0.857,,,,0.295,0.059,0.025,,,,,,,,,,,,,444.0,51.0,0.013,0.002,49.0,0.001,0.0175,57.2,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141746,MYS,Asia,Malaysia,2020-02-05,12.0,2.0,0.714,,,,0.354,0.059,0.021,,,,,,,,,,,,,494.0,50.0,0.015,0.001,46.0,0.001,0.0155,64.4,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141747,MYS,Asia,Malaysia,2020-02-06,14.0,2.0,0.857,,,,0.413,0.059,0.025,,,,,,,,,,,,,718.0,224.0,0.021,0.007,72.0,0.002,0.0119,84.0,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141748,MYS,Asia,Malaysia,2020-02-07,15.0,1.0,1.0,,,,0.442,0.029,0.029,,,,,,,,,,,,,905.0,187.0,0.027,0.006,92.0,0.003,0.0109,92.0,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141749,MYS,Asia,Malaysia,2020-02-08,16.0,1.0,1.143,,,,0.471,0.029,0.034,,,,,,,,,,,,,981.0,76.0,0.029,0.002,99.0,0.003,0.0115,86.6,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141750,MYS,Asia,Malaysia,2020-02-09,17.0,1.0,1.286,,,,0.501,0.029,0.038,,,,,,,,,,,,,1089.0,108.0,0.032,0.003,105.0,0.003,0.0122,81.6,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141751,MYS,Asia,Malaysia,2020-02-10,18.0,1.0,1.429,,,,0.53,0.029,0.042,,,,,,,,,,,,,1169.0,80.0,0.035,0.002,111.0,0.003,0.0129,77.7,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
141752,MYS,Asia,Malaysia,2020-02-11,18.0,0.0,1.143,,,,0.53,0.0,0.034,,,,,,,,,,,,,1380.0,211.0,0.041,0.006,134.0,0.004,0.0085,117.2,people tested,,,,,,,,,,,,,,19.44,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
