,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
143960,MLI,Africa,Mali,2020-03-25,2.0,2.0,,,,,0.089,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143961,MLI,Africa,Mali,2020-03-26,4.0,2.0,,,,,0.177,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143962,MLI,Africa,Mali,2020-03-27,11.0,7.0,,,,,0.487,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143963,MLI,Africa,Mali,2020-03-28,18.0,7.0,,,,,0.797,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143964,MLI,Africa,Mali,2020-03-29,18.0,0.0,,1.0,1.0,,0.797,0.0,,0.044,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143965,MLI,Africa,Mali,2020-03-30,25.0,7.0,3.571,2.0,1.0,,1.107,0.31,0.158,0.089,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143966,MLI,Africa,Mali,2020-03-31,28.0,3.0,4.0,2.0,0.0,,1.239,0.133,0.177,0.089,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143967,MLI,Africa,Mali,2020-04-01,31.0,3.0,4.143,3.0,1.0,,1.372,0.133,0.183,0.133,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143968,MLI,Africa,Mali,2020-04-02,36.0,5.0,4.571,3.0,0.0,,1.593,0.221,0.202,0.133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143969,MLI,Africa,Mali,2020-04-03,39.0,3.0,4.0,3.0,0.0,0.429,1.726,0.133,0.177,0.133,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143970,MLI,Africa,Mali,2020-04-04,41.0,2.0,3.286,3.0,0.0,0.429,1.815,0.089,0.145,0.133,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143971,MLI,Africa,Mali,2020-04-05,45.0,4.0,3.857,5.0,2.0,0.571,1.992,0.177,0.171,0.221,0.089,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143972,MLI,Africa,Mali,2020-04-06,47.0,2.0,3.143,5.0,0.0,0.429,2.08,0.089,0.139,0.221,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
143973,MLI,Africa,Mali,2020-04-07,56.0,9.0,4.0,5.0,0.0,0.429,2.479,0.398,0.177,0.221,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
