,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
151255,MDA,Europe,Moldova,2020-03-08,1.0,1.0,,,,,0.306,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151256,MDA,Europe,Moldova,2020-03-09,1.0,0.0,,,,,0.306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151257,MDA,Europe,Moldova,2020-03-10,3.0,2.0,,,,,0.917,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151258,MDA,Europe,Moldova,2020-03-11,3.0,0.0,,,,,0.917,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151259,MDA,Europe,Moldova,2020-03-12,3.0,0.0,,,,,0.917,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151260,MDA,Europe,Moldova,2020-03-13,6.0,3.0,0.857,,,,1.833,0.917,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151261,MDA,Europe,Moldova,2020-03-14,12.0,6.0,1.714,,,,3.666,1.833,0.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151262,MDA,Europe,Moldova,2020-03-15,23.0,11.0,3.143,,,,7.027,3.361,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151263,MDA,Europe,Moldova,2020-03-16,23.0,0.0,3.143,,,,7.027,0.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
151264,MDA,Europe,Moldova,2020-03-17,30.0,7.0,3.857,,,,9.166,2.139,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
