,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
154534,MNE,Europe,Montenegro,2020-03-17,2.0,2.0,,,,,3.189,3.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154535,MNE,Europe,Montenegro,2020-03-18,2.0,0.0,,,,,3.189,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154536,MNE,Europe,Montenegro,2020-03-19,3.0,1.0,,,,,4.784,1.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154537,MNE,Europe,Montenegro,2020-03-20,14.0,11.0,,,,,22.326,17.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154538,MNE,Europe,Montenegro,2020-03-21,14.0,0.0,,,,,22.326,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154539,MNE,Europe,Montenegro,2020-03-22,21.0,7.0,3.0,,,,33.488,11.163,4.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,-178.59999,-10.38,-6.25,-283.91656
154540,MNE,Europe,Montenegro,2020-03-23,27.0,6.0,3.857,1.0,1.0,,43.057,9.568,6.151,1.595,1.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154541,MNE,Europe,Montenegro,2020-03-24,47.0,20.0,6.429,1.0,0.0,,74.95,31.894,10.252,1.595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154542,MNE,Europe,Montenegro,2020-03-25,52.0,5.0,7.143,1.0,0.0,,82.924,7.973,11.391,1.595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154543,MNE,Europe,Montenegro,2020-03-26,69.0,17.0,9.429,1.0,0.0,,110.033,27.11,15.036,1.595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154544,MNE,Europe,Montenegro,2020-03-27,82.0,13.0,9.714,1.0,0.0,,130.764,20.731,15.491,1.595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154545,MNE,Europe,Montenegro,2020-03-28,84.0,2.0,10.0,1.0,0.0,0.143,133.954,3.189,15.947,1.595,0.0,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154546,MNE,Europe,Montenegro,2020-03-29,85.0,1.0,9.143,1.0,0.0,0.143,135.548,1.595,14.58,1.595,0.0,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,-148.59999,-8.07,25.0,-236.22621
154547,MNE,Europe,Montenegro,2020-03-30,91.0,6.0,9.143,1.0,0.0,0.0,145.117,9.568,14.58,1.595,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154548,MNE,Europe,Montenegro,2020-03-31,109.0,18.0,8.857,2.0,1.0,0.143,173.821,28.704,14.124,3.189,1.595,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154549,MNE,Europe,Montenegro,2020-04-01,123.0,14.0,10.143,2.0,0.0,0.143,196.147,22.326,16.175,3.189,0.0,0.228,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154550,MNE,Europe,Montenegro,2020-04-02,144.0,21.0,10.714,2.0,0.0,0.143,229.635,33.488,17.086,3.189,0.0,0.228,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154551,MNE,Europe,Montenegro,2020-04-03,174.0,30.0,13.143,2.0,0.0,0.143,277.476,47.841,20.959,3.189,0.0,0.228,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154552,MNE,Europe,Montenegro,2020-04-04,201.0,27.0,16.714,2.0,0.0,0.143,320.532,43.057,26.654,3.189,0.0,0.228,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154553,MNE,Europe,Montenegro,2020-04-05,214.0,13.0,18.429,2.0,0.0,0.143,341.263,20.731,29.388,3.189,0.0,0.228,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,-169.99998,-8.59,-15.35,-270.24533
154554,MNE,Europe,Montenegro,2020-04-06,233.0,19.0,20.286,2.0,0.0,0.143,371.562,30.299,32.349,3.189,0.0,0.228,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154555,MNE,Europe,Montenegro,2020-04-07,241.0,8.0,18.857,2.0,0.0,0.0,384.32,12.758,30.071,3.189,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154556,MNE,Europe,Montenegro,2020-04-08,248.0,7.0,17.857,2.0,0.0,0.0,395.483,11.163,28.477,3.189,0.0,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154557,MNE,Europe,Montenegro,2020-04-09,252.0,4.0,15.429,2.0,0.0,0.0,401.861,6.379,24.604,3.189,0.0,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154558,MNE,Europe,Montenegro,2020-04-10,255.0,3.0,11.571,2.0,0.0,0.0,406.645,4.784,18.453,3.189,0.0,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154559,MNE,Europe,Montenegro,2020-04-11,263.0,8.0,8.857,2.0,0.0,0.0,419.403,12.758,14.124,3.189,0.0,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
154560,MNE,Europe,Montenegro,2020-04-12,272.0,9.0,8.286,3.0,1.0,0.143,433.755,14.352,13.213,4.784,1.595,0.228,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,-170.19998,-8.1,-0.16,-270.56326
154561,MNE,Europe,Montenegro,2020-04-13,274.0,2.0,5.857,3.0,0.0,0.143,436.944,3.189,9.34,4.784,0.0,0.228,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
