,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
157818,MOZ,Africa,Mozambique,2020-03-22,1.0,1.0,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157819,MOZ,Africa,Mozambique,2020-03-23,1.0,0.0,,,,,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157820,MOZ,Africa,Mozambique,2020-03-24,3.0,2.0,,,,,0.091,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157821,MOZ,Africa,Mozambique,2020-03-25,5.0,2.0,,,,,0.152,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157822,MOZ,Africa,Mozambique,2020-03-26,7.0,2.0,,,,,0.212,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157823,MOZ,Africa,Mozambique,2020-03-27,7.0,0.0,1.0,,,,0.212,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157824,MOZ,Africa,Mozambique,2020-03-28,8.0,1.0,1.143,,,,0.243,0.03,0.035,,,,,,,,,,,,,205.0,,0.006,,,,,,tests performed,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157825,MOZ,Africa,Mozambique,2020-03-29,8.0,0.0,1.0,,,,0.243,0.0,0.03,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157826,MOZ,Africa,Mozambique,2020-03-30,8.0,0.0,1.0,,,,0.243,0.0,0.03,,,,,,,,,,,,,233.0,,0.007,,,,,,tests performed,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157827,MOZ,Africa,Mozambique,2020-03-31,8.0,0.0,0.714,,,,0.243,0.0,0.022,,,,,,,,,,,,,269.0,36.0,0.008,0.001,,,,,tests performed,,,,,,,,,,,,,,47.22,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157828,MOZ,Africa,Mozambique,2020-04-01,10.0,2.0,0.714,,,,0.303,0.061,0.022,,,,,,,,,,,,,288.0,19.0,0.009,0.001,,,,,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157829,MOZ,Africa,Mozambique,2020-04-02,10.0,0.0,0.429,,,,0.303,0.0,0.013,,,,,,,,,,,,,306.0,18.0,0.01,0.001,,,,,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157830,MOZ,Africa,Mozambique,2020-04-03,10.0,0.0,0.429,,,,0.303,0.0,0.013,,,,,,,,,,,,,321.0,15.0,0.01,0.0,,,,,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157831,MOZ,Africa,Mozambique,2020-04-04,10.0,0.0,0.286,,,,0.303,0.0,0.009,,,,,,,,,,,,,345.0,24.0,0.011,0.001,20.0,0.001,0.0143,69.9,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157832,MOZ,Africa,Mozambique,2020-04-05,10.0,0.0,0.286,,,,0.303,0.0,0.009,,,,,,,,,,,,,367.0,22.0,0.011,0.001,21.0,0.001,0.0136,73.4,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157833,MOZ,Africa,Mozambique,2020-04-06,10.0,0.0,0.286,,,,0.303,0.0,0.009,,,,,,,,,,,,,371.0,4.0,0.012,0.0,20.0,0.001,0.0143,69.9,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157834,MOZ,Africa,Mozambique,2020-04-07,10.0,0.0,0.286,,,,0.303,0.0,0.009,,,,,,,,,,,,,428.0,57.0,0.013,0.002,23.0,0.001,0.0124,80.4,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157835,MOZ,Africa,Mozambique,2020-04-08,17.0,7.0,1.0,,,,0.516,0.212,0.03,,,,,,,,,,,,,471.0,43.0,0.015,0.001,26.0,0.001,0.0385,26.0,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157836,MOZ,Africa,Mozambique,2020-04-09,17.0,0.0,1.0,,,,0.516,0.0,0.03,,,,,,,,,,,,,487.0,16.0,0.015,0.0,26.0,0.001,0.0385,26.0,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157837,MOZ,Africa,Mozambique,2020-04-10,20.0,3.0,1.429,,,,0.607,0.091,0.043,,,,,,,,,,,,,541.0,54.0,0.017,0.002,31.0,0.001,0.0461,21.7,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157838,MOZ,Africa,Mozambique,2020-04-11,20.0,0.0,1.429,,,,0.607,0.0,0.043,,,,,,,,,,,,,551.0,10.0,0.017,0.0,29.0,0.001,0.0493,20.3,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157839,MOZ,Africa,Mozambique,2020-04-12,21.0,1.0,1.571,,,,0.637,0.03,0.048,,,,,,,,,,,,,679.0,128.0,0.021,0.004,45.0,0.001,0.0349,28.6,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157840,MOZ,Africa,Mozambique,2020-04-13,21.0,0.0,1.571,,,,0.637,0.0,0.048,,,,,,,,,,,,,683.0,4.0,0.021,0.0,45.0,0.001,0.0349,28.6,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157841,MOZ,Africa,Mozambique,2020-04-14,28.0,7.0,2.571,,,,0.849,0.212,0.078,,,,,,,,,,,,,762.0,79.0,0.024,0.002,48.0,0.001,0.0536,18.7,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157842,MOZ,Africa,Mozambique,2020-04-15,29.0,1.0,1.714,,,,0.88,0.03,0.052,,,,,,,,,,,,,793.0,31.0,0.025,0.001,46.0,0.001,0.0373,26.8,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157843,MOZ,Africa,Mozambique,2020-04-16,31.0,2.0,2.0,,,,0.94,0.061,0.061,,,,,,,,,,,,,855.0,62.0,0.027,0.002,53.0,0.002,0.0377,26.5,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
157844,MOZ,Africa,Mozambique,2020-04-17,34.0,3.0,2.0,,,,1.031,0.091,0.061,,,,,,,,,,,,,898.0,43.0,0.028,0.001,51.0,0.002,0.0392,25.5,tests performed,,,,,,,,,,,,,,56.48,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
