,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
161052,NRU,Oceania,Nauru,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161053,NRU,Oceania,Nauru,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,168.0,,,168.0,168.0,1.32,1.32,,,13238.0,168.0,1.324,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161054,NRU,Oceania,Nauru,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,8510.0,108.0,0.851,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161055,NRU,Oceania,Nauru,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,6934.0,88.0,0.693,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161056,NRU,Oceania,Nauru,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,6146.0,78.0,0.615,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161057,NRU,Oceania,Nauru,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,5673.0,72.0,0.567,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161058,NRU,Oceania,Nauru,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,5358.0,68.0,0.536,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161059,NRU,Oceania,Nauru,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,5122.0,65.0,0.512,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161060,NRU,Oceania,Nauru,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,3782.0,48.0,0.378,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161061,NRU,Oceania,Nauru,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,3782.0,48.0,0.378,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
161062,NRU,Oceania,Nauru,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,3782.0,48.0,0.378,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
