,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
162881,NLD,Europe,Netherlands,2020-02-27,1.0,1.0,,,,,0.057,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162882,NLD,Europe,Netherlands,2020-02-28,6.0,5.0,,,,,0.342,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162883,NLD,Europe,Netherlands,2020-02-29,10.0,4.0,,,,,0.569,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162884,NLD,Europe,Netherlands,2020-03-01,18.0,8.0,,,,,1.025,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,-2332.0999,-7.62,-8.61,-133.76303
162885,NLD,Europe,Netherlands,2020-03-02,24.0,6.0,,,,,1.366,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162886,NLD,Europe,Netherlands,2020-03-03,38.0,14.0,5.429,,,,2.164,0.797,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162887,NLD,Europe,Netherlands,2020-03-04,82.0,44.0,11.714,,,,4.669,2.505,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162888,NLD,Europe,Netherlands,2020-03-05,128.0,46.0,18.143,,,,7.288,2.619,1.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162889,NLD,Europe,Netherlands,2020-03-06,188.0,60.0,26.0,1.0,1.0,,10.704,3.416,1.48,0.057,0.057,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162890,NLD,Europe,Netherlands,2020-03-07,265.0,77.0,36.429,1.0,0.0,,15.088,4.384,2.074,0.057,0.0,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162891,NLD,Europe,Netherlands,2020-03-08,321.0,56.0,43.286,3.0,2.0,,18.276,3.188,2.464,0.171,0.114,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,-2644.7998,-7.77,-9.14,-151.69867
162892,NLD,Europe,Netherlands,2020-03-09,382.0,61.0,51.143,3.0,0.0,,21.749,3.473,2.912,0.171,0.0,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162893,NLD,Europe,Netherlands,2020-03-10,503.0,121.0,66.429,4.0,1.0,,28.638,6.889,3.782,0.228,0.057,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162894,NLD,Europe,Netherlands,2020-03-11,603.0,100.0,74.429,5.0,1.0,0.714,34.332,5.693,4.238,0.285,0.057,0.041,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162895,NLD,Europe,Netherlands,2020-03-12,804.0,201.0,96.571,5.0,0.0,0.714,45.775,11.444,5.498,0.285,0.0,0.041,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162896,NLD,Europe,Netherlands,2020-03-13,959.0,155.0,110.143,10.0,5.0,1.286,54.6,8.825,6.271,0.569,0.285,0.073,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162897,NLD,Europe,Netherlands,2020-03-14,1135.0,176.0,124.286,12.0,2.0,1.571,64.621,10.02,7.076,0.683,0.114,0.089,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162898,NLD,Europe,Netherlands,2020-03-15,1413.0,278.0,156.0,20.0,8.0,2.429,80.449,15.828,8.882,1.139,0.455,0.138,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,-2698.6997,-7.23,-1.65,-154.79022
162899,NLD,Europe,Netherlands,2020-03-16,1705.0,292.0,189.0,24.0,4.0,3.0,97.073,16.625,10.761,1.366,0.228,0.171,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162900,NLD,Europe,Netherlands,2020-03-17,2051.0,346.0,221.143,43.0,19.0,5.571,116.773,19.699,12.591,2.448,1.082,0.317,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162901,NLD,Europe,Netherlands,2020-03-18,2460.0,409.0,265.286,58.0,15.0,7.571,140.059,23.286,15.104,3.302,0.854,0.431,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162902,NLD,Europe,Netherlands,2020-03-19,2994.0,534.0,312.857,76.0,18.0,10.143,170.462,30.403,17.812,4.327,1.025,0.577,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162903,NLD,Europe,Netherlands,2020-03-20,3632.0,638.0,381.857,106.0,30.0,13.714,206.786,36.324,21.741,6.035,1.708,0.781,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162904,NLD,Europe,Netherlands,2020-03-21,4205.0,573.0,438.571,136.0,30.0,17.714,239.41,32.624,24.97,7.743,1.708,1.009,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
162905,NLD,Europe,Netherlands,2020-03-22,4750.0,545.0,476.714,179.0,43.0,22.714,270.439,31.029,27.142,10.191,2.448,1.293,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,-2232.7998,-5.52,14.8,-128.06744
