,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
167242,NER,Africa,Niger,2020-03-20,1.0,1.0,,,,,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167243,NER,Africa,Niger,2020-03-21,1.0,0.0,,,,,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167244,NER,Africa,Niger,2020-03-22,2.0,1.0,,,,,0.076,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167245,NER,Africa,Niger,2020-03-23,3.0,1.0,,,,,0.114,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167246,NER,Africa,Niger,2020-03-24,3.0,0.0,,,,,0.114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167247,NER,Africa,Niger,2020-03-25,7.0,4.0,1.0,1.0,1.0,,0.267,0.153,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167248,NER,Africa,Niger,2020-03-26,10.0,3.0,1.429,1.0,0.0,,0.382,0.114,0.055,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167249,NER,Africa,Niger,2020-03-27,10.0,0.0,1.286,1.0,0.0,,0.382,0.0,0.049,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167250,NER,Africa,Niger,2020-03-28,10.0,0.0,1.286,1.0,0.0,,0.382,0.0,0.049,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167251,NER,Africa,Niger,2020-03-29,18.0,8.0,2.286,1.0,0.0,,0.687,0.305,0.087,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167252,NER,Africa,Niger,2020-03-30,27.0,9.0,3.429,3.0,2.0,0.429,1.03,0.343,0.131,0.114,0.076,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167253,NER,Africa,Niger,2020-03-31,27.0,0.0,3.429,3.0,0.0,0.429,1.03,0.0,0.131,0.114,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167254,NER,Africa,Niger,2020-04-01,74.0,47.0,9.571,5.0,2.0,0.571,2.824,1.793,0.365,0.191,0.076,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167255,NER,Africa,Niger,2020-04-02,98.0,24.0,12.571,5.0,0.0,0.571,3.739,0.916,0.48,0.191,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
167256,NER,Africa,Niger,2020-04-03,120.0,22.0,15.714,5.0,0.0,0.571,4.579,0.839,0.6,0.191,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
