,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
171043,PRK,Asia,North Korea,2020-04-02,,,,,,,,,,,,,,,,,,,,,,709.0,,0.027,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171044,PRK,Asia,North Korea,2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171045,PRK,Asia,North Korea,2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171046,PRK,Asia,North Korea,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171047,PRK,Asia,North Korea,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171048,PRK,Asia,North Korea,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171049,PRK,Asia,North Korea,2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171050,PRK,Asia,North Korea,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171051,PRK,Asia,North Korea,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171052,PRK,Asia,North Korea,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171053,PRK,Asia,North Korea,2020-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171054,PRK,Asia,North Korea,2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171055,PRK,Asia,North Korea,2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171056,PRK,Asia,North Korea,2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171057,PRK,Asia,North Korea,2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171058,PRK,Asia,North Korea,2020-04-17,,,,,,,,,,,,,,,,,,,,,,740.0,,0.028,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171059,PRK,Asia,North Korea,2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171060,PRK,Asia,North Korea,2020-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171061,PRK,Asia,North Korea,2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171062,PRK,Asia,North Korea,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171063,PRK,Asia,North Korea,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171064,PRK,Asia,North Korea,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
171065,PRK,Asia,North Korea,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,samples tested,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
