,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
174955,MNP,Oceania,Northern Mariana Islands,2020-04-04,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.04,0.04,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174956,MNP,Oceania,Northern Mariana Islands,2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174957,MNP,Oceania,Northern Mariana Islands,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174958,MNP,Oceania,Northern Mariana Islands,2020-04-07,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.061,0.02,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174959,MNP,Oceania,Northern Mariana Islands,2020-04-08,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,0.202,0.141,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174960,MNP,Oceania,Northern Mariana Islands,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174961,MNP,Oceania,Northern Mariana Islands,2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174962,MNP,Oceania,Northern Mariana Islands,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.02,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174963,MNP,Oceania,Northern Mariana Islands,2020-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.02,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174964,MNP,Oceania,Northern Mariana Islands,2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.02,,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174965,MNP,Oceania,Northern Mariana Islands,2020-04-14,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.222,0.02,1.0,0.02,0.375,2.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174966,MNP,Oceania,Northern Mariana Islands,2020-04-15,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.243,0.02,0.0,0.0,0.5,2.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174967,MNP,Oceania,Northern Mariana Islands,2020-04-16,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,0.263,0.02,0.0,0.0,0.333,3.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174968,MNP,Oceania,Northern Mariana Islands,2020-04-17,,,,,,,,,,,,,,,,,,,,,,18.0,5.0,0.364,0.101,1.0,0.02,0.25,4.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174969,MNP,Oceania,Northern Mariana Islands,2020-04-18,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,0.424,0.061,2.0,0.04,0.182,5.5,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174970,MNP,Oceania,Northern Mariana Islands,2020-04-19,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,0.445,0.02,2.0,0.04,0.167,6.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174971,MNP,Oceania,Northern Mariana Islands,2020-04-20,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,0.485,0.04,2.0,0.04,0.143,7.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174972,MNP,Oceania,Northern Mariana Islands,2020-04-21,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,0.546,0.061,2.0,0.04,0.062,16.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174973,MNP,Oceania,Northern Mariana Islands,2020-04-22,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,0.606,0.061,3.0,0.061,0.056,17.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174974,MNP,Oceania,Northern Mariana Islands,2020-04-23,,,,,,,,,,,,,,,,,,,,,,75.0,45.0,1.516,0.909,9.0,0.182,0.016,62.5,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174975,MNP,Oceania,Northern Mariana Islands,2020-04-24,,,,,,,,,,,,,,,,,,,,,,140.0,65.0,2.829,1.314,17.0,0.344,0.0,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174976,MNP,Oceania,Northern Mariana Islands,2020-04-25,,,,,,,,,,,,,,,,,,,,,,245.0,105.0,4.951,2.122,32.0,0.647,0.0,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174977,MNP,Oceania,Northern Mariana Islands,2020-04-26,,,,,,,,,,,,,,,,,,,,,,251.0,6.0,5.073,0.121,33.0,0.667,0.0,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174978,MNP,Oceania,Northern Mariana Islands,2020-04-27,,,,,,,,,,,,,,,,,,,,,,379.0,128.0,7.66,2.587,51.0,1.031,0.0,,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174979,MNP,Oceania,Northern Mariana Islands,2020-04-28,,,,,,,,,,,,,,,,,,,,,,438.0,59.0,8.852,1.192,59.0,1.192,0.002,500.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174980,MNP,Oceania,Northern Mariana Islands,2020-04-29,,,,,,,,,,,,,,,,,,,,,,485.0,47.0,9.802,0.95,65.0,1.314,0.002,500.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174981,MNP,Oceania,Northern Mariana Islands,2020-04-30,,,,,,,,,,,,,,,,,,,,,,709.0,224.0,14.329,4.527,91.0,1.839,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174982,MNP,Oceania,Northern Mariana Islands,2020-05-01,,,,,,,,,,,,,,,,,,,,,,838.0,129.0,16.936,2.607,100.0,2.021,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174983,MNP,Oceania,Northern Mariana Islands,2020-05-02,,,,,,,,,,,,,,,,,,,,,,940.0,102.0,18.997,2.061,99.0,2.001,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174984,MNP,Oceania,Northern Mariana Islands,2020-05-03,,,,,,,,,,,,,,,,,,,,,,1183.0,243.0,23.908,4.911,133.0,2.688,0.004,250.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174985,MNP,Oceania,Northern Mariana Islands,2020-05-04,,,,,,,,,,,,,,,,,,,,,,1392.0,209.0,28.132,4.224,145.0,2.93,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174986,MNP,Oceania,Northern Mariana Islands,2020-05-05,,,,,,,,,,,,,,,,,,,,,,1709.0,317.0,34.539,6.406,182.0,3.678,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174987,MNP,Oceania,Northern Mariana Islands,2020-05-06,,,,,,,,,,,,,,,,,,,,,,1857.0,148.0,37.53,2.991,196.0,3.961,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174988,MNP,Oceania,Northern Mariana Islands,2020-05-07,,,,,,,,,,,,,,,,,,,,,,1891.0,34.0,38.217,0.687,169.0,3.415,0.008,125.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174989,MNP,Oceania,Northern Mariana Islands,2020-05-08,,,,,,,,,,,,,,,,,,,,,,1913.0,22.0,38.661,0.445,154.0,3.112,0.008,125.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174990,MNP,Oceania,Northern Mariana Islands,2020-05-09,,,,,,,,,,,,,,,,,,,,,,2335.0,422.0,47.19,8.529,199.0,4.022,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174991,MNP,Oceania,Northern Mariana Islands,2020-05-10,,,,,,,,,,,,,,,,,,,,,,2650.0,315.0,53.556,6.366,210.0,4.244,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174992,MNP,Oceania,Northern Mariana Islands,2020-05-11,,,,,,,,,,,,,,,,,,,,,,2973.0,323.0,60.084,6.528,226.0,4.567,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174993,MNP,Oceania,Northern Mariana Islands,2020-05-12,,,,,,,,,,,,,,,,,,,,,,3074.0,101.0,62.125,2.041,195.0,3.941,0.004,250.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174994,MNP,Oceania,Northern Mariana Islands,2020-05-13,,,,,,,,,,,,,,,,,,,,,,3295.0,221.0,66.591,4.466,205.0,4.143,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174995,MNP,Oceania,Northern Mariana Islands,2020-05-14,,,,,,,,,,,,,,,,,,,,,,3540.0,245.0,71.543,4.951,236.0,4.77,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174996,MNP,Oceania,Northern Mariana Islands,2020-05-15,,,,,,,,,,,,,,,,,,,,,,3828.0,288.0,77.363,5.82,274.0,5.537,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174997,MNP,Oceania,Northern Mariana Islands,2020-05-16,,,,,,,,,,,,,,,,,,,,,,3853.0,25.0,77.868,0.505,217.0,4.386,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174998,MNP,Oceania,Northern Mariana Islands,2020-05-17,,,,,,,,,,,,,,,,,,,,,,3866.0,13.0,78.131,0.263,174.0,3.517,0.012,83.3,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
174999,MNP,Oceania,Northern Mariana Islands,2020-05-18,,,,,,,,,,,,,,,,,,,,,,3884.0,18.0,78.495,0.364,130.0,2.627,0.012,83.3,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175000,MNP,Oceania,Northern Mariana Islands,2020-05-19,,,,,,,,,,,,,,,,,,,,,,4266.0,382.0,86.215,7.72,170.0,3.436,0.01,100.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175001,MNP,Oceania,Northern Mariana Islands,2020-05-20,,,,,,,,,,,,,,,,,,,,,,4466.0,200.0,90.257,4.042,167.0,3.375,0.01,100.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175002,MNP,Oceania,Northern Mariana Islands,2020-05-21,,,,,,,,,,,,,,,,,,,,,,4767.0,301.0,96.34,6.083,175.0,3.537,0.013,76.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175003,MNP,Oceania,Northern Mariana Islands,2020-05-22,,,,,,,,,,,,,,,,,,,,,,5069.0,302.0,102.443,6.103,177.0,3.577,0.014,71.4,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175004,MNP,Oceania,Northern Mariana Islands,2020-05-23,,,,,,,,,,,,,,,,,,,,,,5392.0,323.0,108.971,6.528,220.0,4.446,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175005,MNP,Oceania,Northern Mariana Islands,2020-05-24,,,,,,,,,,,,,,,,,,,,,,5503.0,111.0,111.214,2.243,234.0,4.729,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175006,MNP,Oceania,Northern Mariana Islands,2020-05-25,,,,,,,,,,,,,,,,,,,,,,5512.0,9.0,111.396,0.182,233.0,4.709,0.009,111.1,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175007,MNP,Oceania,Northern Mariana Islands,2020-05-26,,,,,,,,,,,,,,,,,,,,,,5736.0,224.0,115.923,4.527,210.0,4.244,0.008,125.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175008,MNP,Oceania,Northern Mariana Islands,2020-05-27,,,,,,,,,,,,,,,,,,,,,,6037.0,301.0,122.006,6.083,224.0,4.527,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175009,MNP,Oceania,Northern Mariana Islands,2020-05-28,,,,,,,,,,,,,,,,,,,,,,6380.0,343.0,128.938,6.932,230.0,4.648,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175010,MNP,Oceania,Northern Mariana Islands,2020-05-29,,,,,,,,,,,,,,,,,,,,,,6666.0,286.0,134.718,5.78,228.0,4.608,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175011,MNP,Oceania,Northern Mariana Islands,2020-05-30,,,,,,,,,,,,,,,,,,,,,,6899.0,233.0,139.427,4.709,215.0,4.345,0.004,250.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175012,MNP,Oceania,Northern Mariana Islands,2020-05-31,,,,,,,,,,,,,,,,,,,,,,7093.0,194.0,143.348,3.921,227.0,4.588,0.004,250.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175013,MNP,Oceania,Northern Mariana Islands,2020-06-01,,,,,,,,,,,,,,,,,,,,,,7394.0,301.0,149.431,6.083,269.0,5.436,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175014,MNP,Oceania,Northern Mariana Islands,2020-06-02,,,,,,,,,,,,,,,,,,,,,,7735.0,341.0,156.323,6.892,286.0,5.78,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175015,MNP,Oceania,Northern Mariana Islands,2020-06-03,,,,,,,,,,,,,,,,,,,,,,8020.0,285.0,162.082,5.76,283.0,5.719,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175016,MNP,Oceania,Northern Mariana Islands,2020-06-04,,,,,,,,,,,,,,,,,,,,,,8090.0,70.0,163.497,1.415,244.0,4.931,0.005,200.0,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175017,MNP,Oceania,Northern Mariana Islands,2020-06-05,,,,,,,,,,,,,,,,,,,,,,8101.0,11.0,163.719,0.222,205.0,4.143,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175018,MNP,Oceania,Northern Mariana Islands,2020-06-06,,,,,,,,,,,,,,,,,,,,,,8235.0,134.0,166.428,2.708,191.0,3.86,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175019,MNP,Oceania,Northern Mariana Islands,2020-06-07,,,,,,,,,,,,,,,,,,,,,,8533.0,298.0,172.45,6.023,206.0,4.163,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175020,MNP,Oceania,Northern Mariana Islands,2020-06-08,,,,,,,,,,,,,,,,,,,,,,8832.0,299.0,178.493,6.043,205.0,4.143,0.006,166.7,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
175021,MNP,Oceania,Northern Mariana Islands,2020-06-09,,,,,,,,,,,,,,,,,,,,,,9101.0,269.0,183.929,5.436,195.0,3.941,0.007,142.9,tests performed,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
