,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
177802,OMN,Asia,Oman,2020-02-24,2.0,2.0,,,,,0.437,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177803,OMN,Asia,Oman,2020-02-25,2.0,0.0,,,,,0.437,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177804,OMN,Asia,Oman,2020-02-26,4.0,2.0,,,,,0.874,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177805,OMN,Asia,Oman,2020-02-27,4.0,0.0,,,,,0.874,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177806,OMN,Asia,Oman,2020-02-28,4.0,0.0,,,,,0.874,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177807,OMN,Asia,Oman,2020-02-29,6.0,2.0,0.857,,,,1.311,0.437,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,-30.8,-1.91,-1.2,-6.779055
177808,OMN,Asia,Oman,2020-03-01,6.0,0.0,0.857,,,,1.311,0.0,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177809,OMN,Asia,Oman,2020-03-02,6.0,0.0,0.571,,,,1.311,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177810,OMN,Asia,Oman,2020-03-03,12.0,6.0,1.429,,,,2.622,1.311,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
177811,OMN,Asia,Oman,2020-03-04,15.0,3.0,1.571,,,,3.278,0.656,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
