,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
178906,PAK,Asia,Pakistan,2020-02-25,2.0,2.0,,,,,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178907,PAK,Asia,Pakistan,2020-02-26,2.0,0.0,,,,,0.008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178908,PAK,Asia,Pakistan,2020-02-27,2.0,0.0,,,,,0.008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178909,PAK,Asia,Pakistan,2020-02-28,4.0,2.0,,,,,0.017,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178910,PAK,Asia,Pakistan,2020-02-29,4.0,0.0,,,,,0.017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178911,PAK,Asia,Pakistan,2020-03-01,4.0,0.0,0.571,,,,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178912,PAK,Asia,Pakistan,2020-03-02,5.0,1.0,0.714,,,,0.021,0.004,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178913,PAK,Asia,Pakistan,2020-03-03,5.0,0.0,0.429,,,,0.021,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178914,PAK,Asia,Pakistan,2020-03-04,5.0,0.0,0.429,,,,0.021,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178915,PAK,Asia,Pakistan,2020-03-05,6.0,1.0,0.571,,,,0.025,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178916,PAK,Asia,Pakistan,2020-03-06,6.0,0.0,0.286,,,,0.025,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178917,PAK,Asia,Pakistan,2020-03-07,6.0,0.0,0.286,,,,0.025,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178918,PAK,Asia,Pakistan,2020-03-08,6.0,0.0,0.286,,,,0.025,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178919,PAK,Asia,Pakistan,2020-03-09,16.0,10.0,1.571,,,,0.068,0.042,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178920,PAK,Asia,Pakistan,2020-03-10,19.0,3.0,2.0,,,,0.081,0.013,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178921,PAK,Asia,Pakistan,2020-03-11,20.0,1.0,2.143,,,,0.085,0.004,0.009,,,,,,,,,,,,,471.0,,0.002,,,,,,tests performed,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178922,PAK,Asia,Pakistan,2020-03-12,28.0,8.0,3.143,,,,0.119,0.034,0.013,,,,,,,,,,,,,531.0,60.0,0.002,0.0,,,,,tests performed,,,,,,,,,,,,,,28.7,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178923,PAK,Asia,Pakistan,2020-03-13,31.0,3.0,3.571,,,,0.131,0.013,0.015,,,,,,,,,,,,,609.0,78.0,0.003,0.0,,,,,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178924,PAK,Asia,Pakistan,2020-03-14,53.0,22.0,6.714,,,,0.225,0.093,0.028,,,,,,,,,,,,,684.0,75.0,0.003,0.0,,,,,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178925,PAK,Asia,Pakistan,2020-03-15,136.0,83.0,18.571,,,,0.577,0.352,0.079,,,,,,,,,,,,,833.0,149.0,0.004,0.001,,,,,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178926,PAK,Asia,Pakistan,2020-03-16,236.0,100.0,31.429,,,,1.001,0.424,0.133,,,,2.33,,,,,,,,,1125.0,292.0,0.005,0.001,,,,,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178927,PAK,Asia,Pakistan,2020-03-17,299.0,63.0,40.0,,,,1.268,0.267,0.17,,,,2.29,,,,,,,,,1141.0,16.0,0.005,0.0,,,,,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178928,PAK,Asia,Pakistan,2020-03-18,454.0,155.0,62.0,2.0,2.0,,1.925,0.657,0.263,0.008,0.008,,2.24,,,,,,,,,2163.0,1022.0,0.009,0.004,242.0,0.001,0.2562,3.9,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178929,PAK,Asia,Pakistan,2020-03-19,501.0,47.0,67.571,3.0,1.0,,2.124,0.199,0.287,0.013,0.004,,2.17,,,,,,,,,3410.0,1247.0,0.015,0.005,411.0,0.002,0.1644,6.1,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178930,PAK,Asia,Pakistan,2020-03-20,730.0,229.0,99.857,3.0,0.0,,3.096,0.971,0.423,0.013,0.0,,2.11,,,,,,,,,4001.0,591.0,0.017,0.003,485.0,0.002,0.2059,4.9,tests performed,,,,,,,,,,,,,,52.78,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178931,PAK,Asia,Pakistan,2020-03-21,776.0,46.0,103.286,5.0,2.0,,3.291,0.195,0.438,0.021,0.008,,2.02,,,,,,,,,5225.0,1224.0,0.023,0.005,649.0,0.003,0.1591,6.3,tests performed,,,,,,,,,,,,,,55.56,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178932,PAK,Asia,Pakistan,2020-03-22,875.0,99.0,105.571,6.0,1.0,,3.71,0.42,0.448,0.025,0.004,,1.94,,,,,,,,,5444.0,219.0,0.024,0.001,659.0,0.003,0.1602,6.2,tests performed,,,,,,,,,,,,,,55.56,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178933,PAK,Asia,Pakistan,2020-03-23,972.0,97.0,105.143,7.0,1.0,1.0,4.122,0.411,0.446,0.03,0.004,0.004,1.87,,,,,,,,,5857.0,413.0,0.025,0.002,676.0,0.003,0.1555,6.4,tests performed,,,,,,,,,,,,,,85.19,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178934,PAK,Asia,Pakistan,2020-03-24,1063.0,91.0,109.143,8.0,1.0,1.143,4.508,0.386,0.463,0.034,0.004,0.005,1.83,,,,,,,,,6123.0,266.0,0.026,0.001,712.0,0.003,0.1533,6.5,tests performed,,,,,,,,,,,,,,93.52,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178935,PAK,Asia,Pakistan,2020-03-25,1201.0,138.0,106.714,9.0,1.0,1.0,5.093,0.585,0.453,0.038,0.004,0.004,1.79,,,,,,,,,6449.0,326.0,0.028,0.001,612.0,0.003,0.1744,5.7,tests performed,,,,,,,,,,,,,,93.52,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178936,PAK,Asia,Pakistan,2020-03-26,1373.0,172.0,124.571,11.0,2.0,1.143,5.822,0.729,0.528,0.047,0.008,0.005,1.76,,,,,,,,,7835.0,1386.0,0.034,0.006,632.0,0.003,0.1971,5.1,tests performed,,,,,,,,,,,,,,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178937,PAK,Asia,Pakistan,2020-03-27,1495.0,122.0,109.286,12.0,1.0,1.286,6.339,0.517,0.463,0.051,0.004,0.005,1.72,,,,,,,,,13231.0,5396.0,0.057,0.023,1319.0,0.006,0.0829,12.1,tests performed,,,,,,,,,,,,,,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178938,PAK,Asia,Pakistan,2020-03-28,1597.0,102.0,117.286,14.0,2.0,1.286,6.772,0.433,0.497,0.059,0.008,0.005,1.7,,,,,,,,,14336.0,1105.0,0.062,0.005,1302.0,0.006,0.0901,11.1,tests performed,,,,,,,,,,,,,,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178939,PAK,Asia,Pakistan,2020-03-29,1717.0,120.0,120.286,21.0,7.0,2.143,7.281,0.509,0.51,0.089,0.03,0.009,1.68,,,,,,,,,14748.0,412.0,0.064,0.002,1329.0,0.006,0.0905,11.0,tests performed,,,,,,,,,,,,,,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
178940,PAK,Asia,Pakistan,2020-03-30,1938.0,221.0,138.0,26.0,5.0,2.714,8.218,0.937,0.585,0.11,0.021,0.012,1.67,,,,,,,,,15683.0,935.0,0.068,0.004,1404.0,0.006,0.0983,10.2,tests performed,,,,,,,,,,,,,,96.3,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
