,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
183831,PRY,South America,Paraguay,2020-03-07,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,tests performed,,,,,,,,,,,,,,5.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183832,PRY,South America,Paraguay,2020-03-08,1.0,1.0,,,,,0.147,0.147,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,5.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183833,PRY,South America,Paraguay,2020-03-09,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,5.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183834,PRY,South America,Paraguay,2020-03-10,5.0,4.0,,,,,0.737,0.59,,,,,,,,,,,,,,9.0,,0.001,,,,,,tests performed,,,,,,,,,,,,,,47.22,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183835,PRY,South America,Paraguay,2020-03-11,5.0,0.0,,,,,0.737,0.0,,,,,,,,,,,,,,16.0,7.0,0.002,0.001,,,,,tests performed,,,,,,,,,,,,,,47.22,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183836,PRY,South America,Paraguay,2020-03-12,6.0,1.0,,,,,0.885,0.147,,,,,,,,,,,,,,22.0,6.0,0.003,0.001,,,,,tests performed,,,,,,,,,,,,,,47.22,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183837,PRY,South America,Paraguay,2020-03-13,7.0,1.0,1.0,,,,1.032,0.147,0.147,,,,,,,,,,,,,39.0,17.0,0.006,0.003,,,,,tests performed,,,,,,,,,,,,,,47.22,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183838,PRY,South America,Paraguay,2020-03-14,7.0,0.0,1.0,,,,1.032,0.0,0.147,,,,,,,,,,,,,54.0,15.0,0.008,0.002,8.0,0.001,0.125,8.0,tests performed,,,,,,,,,,,,,,55.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183839,PRY,South America,Paraguay,2020-03-15,8.0,1.0,1.0,,,,1.18,0.147,0.147,,,,,,,,,,,,,87.0,33.0,0.013,0.005,12.0,0.002,0.0833,12.0,tests performed,,,,,,,,,,,,,,55.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183840,PRY,South America,Paraguay,2020-03-16,9.0,1.0,1.143,,,,1.327,0.147,0.169,,,,,,,,,,,,,114.0,27.0,0.017,0.004,15.0,0.002,0.0762,13.1,tests performed,,,,,,,,,,,,,,55.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183841,PRY,South America,Paraguay,2020-03-17,11.0,2.0,0.857,,,,1.622,0.295,0.126,,,,,,,,,,,,,140.0,26.0,0.021,0.004,19.0,0.003,0.0451,22.2,tests performed,,,,,,,,,,,,,,59.26,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183842,PRY,South America,Paraguay,2020-03-18,11.0,0.0,0.857,,,,1.622,0.0,0.126,,,,,,,,,,,,,164.0,24.0,0.024,0.004,21.0,0.003,0.0408,24.5,tests performed,,,,,,,,,,,,,,59.26,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
183843,PRY,South America,Paraguay,2020-03-19,13.0,2.0,1.0,,,,1.917,0.295,0.147,,,,,,,,,,,,,196.0,32.0,0.029,0.005,25.0,0.004,0.04,25.0,tests performed,,,,,,,,,,,,,,59.26,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
