,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
184923,PER,South America,Peru,2020-03-06,1.0,1.0,,1.0,1.0,,0.029,0.029,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184924,PER,South America,Peru,2020-03-07,1.0,0.0,,1.0,0.0,,0.029,0.0,,0.029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184925,PER,South America,Peru,2020-03-08,6.0,5.0,,2.0,1.0,,0.176,0.147,,0.059,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,-2160.5,-7.33,-6.8,-64.87059
184926,PER,South America,Peru,2020-03-09,7.0,1.0,,2.0,0.0,,0.206,0.029,,0.059,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184927,PER,South America,Peru,2020-03-10,11.0,4.0,,2.0,0.0,,0.323,0.117,,0.059,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184928,PER,South America,Peru,2020-03-11,11.0,0.0,1.571,2.0,0.0,0.286,0.323,0.0,0.046,0.059,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184929,PER,South America,Peru,2020-03-12,15.0,4.0,2.143,3.0,1.0,0.429,0.441,0.117,0.063,0.088,0.029,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184930,PER,South America,Peru,2020-03-13,28.0,13.0,3.857,3.0,0.0,0.286,0.822,0.382,0.113,0.088,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184931,PER,South America,Peru,2020-03-14,38.0,10.0,5.286,3.0,0.0,0.286,1.116,0.294,0.155,0.088,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
184932,PER,South America,Peru,2020-03-15,43.0,5.0,5.286,5.0,2.0,0.429,1.263,0.147,0.155,0.147,0.059,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,-2367.4,-7.28,-6.82,-71.08291
