,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
187586,POL,Europe,Poland,2020-03-04,1.0,1.0,,,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187587,POL,Europe,Poland,2020-03-05,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187588,POL,Europe,Poland,2020-03-06,5.0,4.0,,,,,0.125,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187589,POL,Europe,Poland,2020-03-07,5.0,0.0,,,,,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187590,POL,Europe,Poland,2020-03-08,11.0,6.0,,,,,0.276,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,-6305.6,-7.01,-6.3,-164.08711
187591,POL,Europe,Poland,2020-03-09,16.0,5.0,2.286,,,,0.401,0.125,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187592,POL,Europe,Poland,2020-03-10,22.0,6.0,3.143,,,,0.552,0.151,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187593,POL,Europe,Poland,2020-03-11,31.0,9.0,4.286,,,,0.778,0.226,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187594,POL,Europe,Poland,2020-03-12,49.0,18.0,6.857,1.0,1.0,,1.229,0.452,0.172,0.025,0.025,,,,,,,,,,,603.0,,0.016,,,,,,tests performed,,,,,,,,,,,,,,41.67,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187595,POL,Europe,Poland,2020-03-13,68.0,19.0,9.0,2.0,1.0,,1.706,0.477,0.226,0.05,0.025,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,41.67,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
187596,POL,Europe,Poland,2020-03-14,103.0,35.0,14.0,3.0,1.0,,2.584,0.878,0.351,0.075,0.025,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,49.07,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
