,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
188681,PRT,Europe,Portugal,2020-03-01,,,,,,,,,,,,,,,,,,,,,,25.0,,0.002,,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,-1943.6,-7.87,-8.18,-188.73227
188682,PRT,Europe,Portugal,2020-03-02,2.0,2.0,,,,,0.195,0.195,,,,,,,,,,,,,,70.0,45.0,0.007,0.004,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188683,PRT,Europe,Portugal,2020-03-03,2.0,0.0,,,,,0.195,0.0,,,,,,,,,,,,,,131.0,61.0,0.013,0.006,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188684,PRT,Europe,Portugal,2020-03-04,5.0,3.0,,,,,0.487,0.292,,,,,,,,,,,,,,171.0,40.0,0.017,0.004,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188685,PRT,Europe,Portugal,2020-03-05,8.0,3.0,,,,,0.779,0.292,,,,,,,,9.0,0.876,,,,,251.0,80.0,0.024,0.008,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188686,PRT,Europe,Portugal,2020-03-06,13.0,5.0,,,,,1.266,0.487,,,,,,,,13.0,1.266,,,,,332.0,81.0,0.032,0.008,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188687,PRT,Europe,Portugal,2020-03-07,20.0,7.0,2.857,,,,1.947,0.682,0.278,,,,,,,21.0,2.045,,,,,411.0,79.0,0.04,0.008,,,,,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188688,PRT,Europe,Portugal,2020-03-08,30.0,10.0,4.286,,,,2.921,0.974,0.417,,,,,,,30.0,2.921,,,,,495.0,84.0,0.048,0.008,67.0,0.007,0.064,15.6,tests performed,,,,,,,,,,,,,,5.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,-2151.6,-7.94,-8.7,-208.93001
188689,PRT,Europe,Portugal,2020-03-09,30.0,0.0,4.0,,,,2.921,0.0,0.389,,,,,,,38.0,3.7,,,,,670.0,175.0,0.065,0.017,86.0,0.008,0.0465,21.5,tests performed,,,,,,,,,,,,,,27.31,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188690,PRT,Europe,Portugal,2020-03-10,41.0,11.0,5.571,,,,3.992,1.071,0.542,,,,,,,40.0,3.895,,,,,976.0,306.0,0.095,0.03,121.0,0.012,0.046,21.7,tests performed,,,,,,,,,,,,,,35.65,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188691,PRT,Europe,Portugal,2020-03-11,59.0,18.0,7.714,,,,5.744,1.753,0.751,,,,,,,57.0,5.55,,,,,1556.0,580.0,0.151,0.056,198.0,0.019,0.039,25.7,tests performed,,,,,,,,,,,,,,35.65,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188692,PRT,Europe,Portugal,2020-03-12,59.0,0.0,7.286,,,,5.744,0.0,0.709,,,,,,,69.0,6.718,,,,,2494.0,938.0,0.242,0.091,320.0,0.031,0.0228,43.9,tests performed,,,,,,,,,,,,,,43.06,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188693,PRT,Europe,Portugal,2020-03-13,112.0,53.0,14.143,,,,10.905,5.16,1.377,,,,,,,107.0,10.418,,,,,4045.0,1551.0,0.393,0.151,530.0,0.052,0.0267,37.5,tests performed,,,,,,,,,,,,,,43.06,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188694,PRT,Europe,Portugal,2020-03-14,169.0,57.0,21.286,,,,16.454,5.55,2.072,,,,2.69,10.0,0.974,114.0,11.099,,,,,5298.0,1253.0,0.515,0.122,698.0,0.068,0.0305,32.8,tests performed,,,,,,,,,,,,,,43.06,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
188695,PRT,Europe,Portugal,2020-03-15,245.0,76.0,30.714,,,,23.854,7.4,2.99,,,,2.68,9.0,0.876,139.0,13.533,,,,,6249.0,951.0,0.607,0.092,822.0,0.08,0.0374,26.8,tests performed,,,,,,,,,,,,,,53.7,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,-2117.6,-7.2,1.46,-205.62846
188696,PRT,Europe,Portugal,2020-03-16,331.0,86.0,43.0,,,,32.227,8.373,4.187,,,,2.66,18.0,1.753,139.0,13.533,,,,,7932.0,1683.0,0.771,0.164,1037.0,0.101,0.0415,24.1,tests performed,,,,,,,,,,,,,,55.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
