,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
189779,PRI,North America,Puerto Rico,2020-03-01,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,-211.19997,-3.75,3.82,-64.55615
189780,PRI,North America,Puerto Rico,2020-03-02,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,0.002,0.002,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189781,PRI,North America,Puerto Rico,2020-03-03,,,,,,,,,,,,,,,,,,,,,,15.0,9.0,0.005,0.003,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189782,PRI,North America,Puerto Rico,2020-03-04,,,,,,,,,,,,,,,,,,,,,,31.0,16.0,0.01,0.005,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189783,PRI,North America,Puerto Rico,2020-03-05,,,,,,,,,,,,,,,,,,,,,,44.0,13.0,0.014,0.004,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189784,PRI,North America,Puerto Rico,2020-03-06,,,,,,,,,,,,,,,,,,,,,,51.0,7.0,0.016,0.002,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189785,PRI,North America,Puerto Rico,2020-03-07,,,,,,,,,,,,,,,,,,,,,,53.0,2.0,0.016,0.001,,,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189786,PRI,North America,Puerto Rico,2020-03-08,,,,,,,,,,,,,,,,,,,,,,57.0,4.0,0.018,0.001,8.0,0.002,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,-169.59998,-2.73,7.22,-51.840546
189787,PRI,North America,Puerto Rico,2020-03-09,,,,,,,,,,,,,,,,,,,,,,62.0,5.0,0.019,0.002,8.0,0.002,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
189788,PRI,North America,Puerto Rico,2020-03-10,,,,,,,,,,,,,,,,,,,,,,75.0,13.0,0.023,0.004,9.0,0.003,,,tests performed,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
