,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
195941,KNA,North America,Saint Kitts and Nevis,2020-03-25,2.0,2.0,,,,,41.945,41.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195942,KNA,North America,Saint Kitts and Nevis,2020-03-26,2.0,0.0,,,,,41.945,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195943,KNA,North America,Saint Kitts and Nevis,2020-03-27,2.0,0.0,,,,,41.945,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195944,KNA,North America,Saint Kitts and Nevis,2020-03-28,2.0,0.0,,,,,41.945,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195945,KNA,North America,Saint Kitts and Nevis,2020-03-29,2.0,0.0,,,,,41.945,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195946,KNA,North America,Saint Kitts and Nevis,2020-03-30,7.0,5.0,1.0,,,,146.809,104.864,20.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195947,KNA,North America,Saint Kitts and Nevis,2020-03-31,8.0,1.0,1.143,,,,167.782,20.973,23.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,-7.2000003,-7.11,-1.73,-151.05107
195948,KNA,North America,Saint Kitts and Nevis,2020-04-01,8.0,0.0,0.857,,,,167.782,0.0,17.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195949,KNA,North America,Saint Kitts and Nevis,2020-04-02,9.0,1.0,1.0,,,,188.754,20.973,20.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195950,KNA,North America,Saint Kitts and Nevis,2020-04-03,9.0,0.0,1.0,,,,188.754,0.0,20.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195951,KNA,North America,Saint Kitts and Nevis,2020-04-04,9.0,0.0,1.0,,,,188.754,0.0,20.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195952,KNA,North America,Saint Kitts and Nevis,2020-04-05,10.0,1.0,1.143,,,,209.727,20.973,23.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195953,KNA,North America,Saint Kitts and Nevis,2020-04-06,10.0,0.0,0.429,,,,209.727,0.0,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195954,KNA,North America,Saint Kitts and Nevis,2020-04-07,11.0,1.0,0.429,,,,230.7,20.973,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195955,KNA,North America,Saint Kitts and Nevis,2020-04-08,11.0,0.0,0.429,,,,230.7,0.0,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195956,KNA,North America,Saint Kitts and Nevis,2020-04-09,11.0,0.0,0.286,,,,230.7,0.0,5.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195957,KNA,North America,Saint Kitts and Nevis,2020-04-10,12.0,1.0,0.429,,,,251.673,20.973,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195958,KNA,North America,Saint Kitts and Nevis,2020-04-11,12.0,0.0,0.429,,,,251.673,0.0,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195959,KNA,North America,Saint Kitts and Nevis,2020-04-12,12.0,0.0,0.286,,,,251.673,0.0,5.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195960,KNA,North America,Saint Kitts and Nevis,2020-04-13,12.0,0.0,0.286,,,,251.673,0.0,5.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195961,KNA,North America,Saint Kitts and Nevis,2020-04-14,14.0,2.0,0.429,,,,293.618,41.945,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195962,KNA,North America,Saint Kitts and Nevis,2020-04-15,14.0,0.0,0.429,,,,293.618,0.0,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
195963,KNA,North America,Saint Kitts and Nevis,2020-04-16,14.0,0.0,0.429,,,,293.618,0.0,8.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
