,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
198100,SPM,North America,Saint Pierre and Miquelon,2020-04-05,1.0,1.0,,,,,169.924,169.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198101,SPM,North America,Saint Pierre and Miquelon,2020-04-06,1.0,0.0,,,,,169.924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198102,SPM,North America,Saint Pierre and Miquelon,2020-04-07,1.0,0.0,,,,,169.924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198103,SPM,North America,Saint Pierre and Miquelon,2020-04-08,1.0,0.0,,,,,169.924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198104,SPM,North America,Saint Pierre and Miquelon,2020-04-09,1.0,0.0,,,,,169.924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198105,SPM,North America,Saint Pierre and Miquelon,2020-04-10,1.0,0.0,0.143,,,,169.924,0.0,24.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198106,SPM,North America,Saint Pierre and Miquelon,2020-04-11,1.0,0.0,0.143,,,,169.924,0.0,24.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198107,SPM,North America,Saint Pierre and Miquelon,2020-04-12,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198108,SPM,North America,Saint Pierre and Miquelon,2020-04-13,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198109,SPM,North America,Saint Pierre and Miquelon,2020-04-14,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198110,SPM,North America,Saint Pierre and Miquelon,2020-04-15,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198111,SPM,North America,Saint Pierre and Miquelon,2020-04-16,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198112,SPM,North America,Saint Pierre and Miquelon,2020-04-17,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198113,SPM,North America,Saint Pierre and Miquelon,2020-04-18,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198114,SPM,North America,Saint Pierre and Miquelon,2020-04-19,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198115,SPM,North America,Saint Pierre and Miquelon,2020-04-20,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198116,SPM,North America,Saint Pierre and Miquelon,2020-04-21,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198117,SPM,North America,Saint Pierre and Miquelon,2020-04-22,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198118,SPM,North America,Saint Pierre and Miquelon,2020-04-23,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198119,SPM,North America,Saint Pierre and Miquelon,2020-04-24,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198120,SPM,North America,Saint Pierre and Miquelon,2020-04-25,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198121,SPM,North America,Saint Pierre and Miquelon,2020-04-26,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198122,SPM,North America,Saint Pierre and Miquelon,2020-04-27,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198123,SPM,North America,Saint Pierre and Miquelon,2020-04-28,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198124,SPM,North America,Saint Pierre and Miquelon,2020-04-29,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198125,SPM,North America,Saint Pierre and Miquelon,2020-04-30,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198126,SPM,North America,Saint Pierre and Miquelon,2020-05-01,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198127,SPM,North America,Saint Pierre and Miquelon,2020-05-02,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198128,SPM,North America,Saint Pierre and Miquelon,2020-05-03,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198129,SPM,North America,Saint Pierre and Miquelon,2020-05-04,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198130,SPM,North America,Saint Pierre and Miquelon,2020-05-05,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198131,SPM,North America,Saint Pierre and Miquelon,2020-05-06,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198132,SPM,North America,Saint Pierre and Miquelon,2020-05-07,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198133,SPM,North America,Saint Pierre and Miquelon,2020-05-08,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198134,SPM,North America,Saint Pierre and Miquelon,2020-05-09,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198135,SPM,North America,Saint Pierre and Miquelon,2020-05-10,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
198136,SPM,North America,Saint Pierre and Miquelon,2020-05-11,1.0,0.0,0.0,,,,169.924,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
