,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
201084,SMR,Europe,San Marino,2020-02-29,1.0,1.0,,1.0,1.0,,29.682,29.682,,29.682,29.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,1.8000001,3.81,14.04,52.882076
201085,SMR,Europe,San Marino,2020-03-01,1.0,0.0,,1.0,0.0,,29.682,0.0,,29.682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201086,SMR,Europe,San Marino,2020-03-02,1.0,0.0,,1.0,0.0,,29.682,0.0,,29.682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201087,SMR,Europe,San Marino,2020-03-03,9.0,8.0,,1.0,0.0,,267.142,237.459,,29.682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201088,SMR,Europe,San Marino,2020-03-04,9.0,0.0,,1.0,0.0,,267.142,0.0,,29.682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201089,SMR,Europe,San Marino,2020-03-05,16.0,7.0,2.286,1.0,0.0,0.143,474.918,207.777,67.845,29.682,0.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201090,SMR,Europe,San Marino,2020-03-06,22.0,6.0,3.143,1.0,0.0,0.143,653.013,178.094,93.288,29.682,0.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201091,SMR,Europe,San Marino,2020-03-07,24.0,2.0,3.286,1.0,0.0,0.0,712.378,59.365,97.528,29.682,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201092,SMR,Europe,San Marino,2020-03-08,27.0,3.0,3.714,1.0,0.0,0.0,801.425,89.047,110.249,29.682,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201093,SMR,Europe,San Marino,2020-03-09,37.0,10.0,5.143,1.0,0.0,0.0,1098.249,296.824,152.652,29.682,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201094,SMR,Europe,San Marino,2020-03-10,49.0,12.0,5.714,2.0,1.0,0.143,1454.438,356.189,169.614,59.365,29.682,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201095,SMR,Europe,San Marino,2020-03-11,60.0,11.0,7.286,2.0,0.0,0.143,1780.944,326.506,216.257,59.365,0.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201096,SMR,Europe,San Marino,2020-03-12,60.0,0.0,6.286,2.0,0.0,0.143,1780.944,0.0,186.575,59.365,0.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201097,SMR,Europe,San Marino,2020-03-13,64.0,4.0,6.0,5.0,3.0,0.571,1899.673,118.73,178.094,148.412,89.047,16.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201098,SMR,Europe,San Marino,2020-03-14,77.0,13.0,7.571,5.0,0.0,0.571,2285.545,385.871,224.738,148.412,0.0,16.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201099,SMR,Europe,San Marino,2020-03-15,77.0,0.0,7.143,5.0,0.0,0.571,2285.545,0.0,212.017,148.412,0.0,16.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201100,SMR,Europe,San Marino,2020-03-16,77.0,0.0,5.714,5.0,0.0,0.571,2285.545,0.0,169.614,148.412,0.0,16.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201101,SMR,Europe,San Marino,2020-03-17,102.0,25.0,7.571,9.0,4.0,1.0,3027.605,742.06,224.738,267.142,118.73,29.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201102,SMR,Europe,San Marino,2020-03-18,104.0,2.0,6.286,11.0,2.0,1.286,3086.969,59.365,186.575,326.506,59.365,38.163,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201103,SMR,Europe,San Marino,2020-03-19,109.0,5.0,7.0,14.0,3.0,1.714,3235.381,148.412,207.777,415.554,89.047,50.884,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201104,SMR,Europe,San Marino,2020-03-20,126.0,17.0,8.857,14.0,0.0,1.286,3739.982,504.601,262.901,415.554,0.0,38.163,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
201105,SMR,Europe,San Marino,2020-03-21,151.0,25.0,10.571,20.0,6.0,2.143,4482.042,742.06,313.785,593.648,178.094,63.605,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
