,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
211565,SVK,Europe,Slovakia,2020-03-06,1.0,1.0,,,,,0.177,0.177,,,,,,,,1.0,0.177,,,,,378.0,378.0,0.069,0.069,,,,,tests performed,,,,,,,,,,,,,,16.67,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211566,SVK,Europe,Slovakia,2020-03-07,1.0,0.0,,,,,0.177,0.0,,,,,,,,2.0,0.354,,,,,444.0,66.0,0.082,0.012,,,,,tests performed,,,,,,,,,,,,,,16.67,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211567,SVK,Europe,Slovakia,2020-03-08,3.0,2.0,,,,,0.532,0.354,,,,,,2.0,0.354,5.0,0.886,2.0,0.366,7.0,1.282,520.0,76.0,0.095,0.014,,,,,tests performed,,,,,,,,,,,,,,16.67,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,-595.8,-5.02,-1.76,-109.18725
211568,SVK,Europe,Slovakia,2020-03-09,5.0,2.0,,,,,0.886,0.354,,,,,,2.0,0.354,5.0,0.886,,,,,589.0,69.0,0.108,0.013,,,,,tests performed,,,,,,,,,,,,,,22.22,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211569,SVK,Europe,Slovakia,2020-03-10,7.0,2.0,,,,,1.24,0.354,,,,,,2.0,0.354,7.0,1.24,,,,,700.0,111.0,0.128,0.02,,,,,tests performed,,,,,,,,,,,,,,33.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211570,SVK,Europe,Slovakia,2020-03-11,7.0,0.0,1.0,,,,1.24,0.0,0.177,,,,,2.0,0.354,7.0,1.24,,,,,797.0,97.0,0.146,0.018,,,,,tests performed,,,,,,,,,,,,,,33.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211571,SVK,Europe,Slovakia,2020-03-12,10.0,3.0,1.429,,,,1.772,0.532,0.253,,,,,3.0,0.532,8.0,1.418,,,,,892.0,95.0,0.164,0.017,,,0.024,41.7,tests performed,,,,,,,,,,,,,,45.37,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211572,SVK,Europe,Slovakia,2020-03-13,21.0,11.0,2.857,,,,3.721,1.949,0.506,,,,,2.0,0.354,11.0,1.949,,,,,950.0,58.0,0.174,0.011,82.0,0.015,0.054,18.5,tests performed,,,,,,,,,,,,,,58.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211573,SVK,Europe,Slovakia,2020-03-14,32.0,11.0,4.429,,,,5.67,1.949,0.785,,,,,2.0,0.354,14.0,2.481,,,,,1147.0,197.0,0.211,0.036,100.0,0.018,0.058,17.2,tests performed,,,,,,,,,,,,,,63.89,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
211574,SVK,Europe,Slovakia,2020-03-15,44.0,12.0,5.857,,,,7.797,2.126,1.038,,,,,2.0,0.354,21.0,3.721,4.0,0.733,24.0,4.213,1436.0,289.0,0.264,0.053,131.0,0.024,0.061,16.4,tests performed,,,,,,,,,,,,,,63.89,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,-580.5,-4.48,1.38,-106.38335
