,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
213784,SLB,Oceania,Solomon Islands,2020-10-12,2.0,2.0,,,,,2.761,2.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213785,SLB,Oceania,Solomon Islands,2020-10-13,2.0,0.0,,,,,2.761,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213786,SLB,Oceania,Solomon Islands,2020-10-14,2.0,0.0,,,,,2.761,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213787,SLB,Oceania,Solomon Islands,2020-10-15,3.0,1.0,,,,,4.142,1.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213788,SLB,Oceania,Solomon Islands,2020-10-16,3.0,0.0,,,,,4.142,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213789,SLB,Oceania,Solomon Islands,2020-10-17,3.0,0.0,0.429,,,,4.142,0.0,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213790,SLB,Oceania,Solomon Islands,2020-10-18,3.0,0.0,0.429,,,,4.142,0.0,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213791,SLB,Oceania,Solomon Islands,2020-10-19,3.0,0.0,0.143,,,,4.142,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213792,SLB,Oceania,Solomon Islands,2020-10-20,3.0,0.0,0.143,,,,4.142,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213793,SLB,Oceania,Solomon Islands,2020-10-21,3.0,0.0,0.143,,,,4.142,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213794,SLB,Oceania,Solomon Islands,2020-10-22,4.0,1.0,0.143,,,,5.523,1.381,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213795,SLB,Oceania,Solomon Islands,2020-10-23,4.0,0.0,0.143,,,,5.523,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213796,SLB,Oceania,Solomon Islands,2020-10-24,4.0,0.0,0.143,,,,5.523,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213797,SLB,Oceania,Solomon Islands,2020-10-25,4.0,0.0,0.143,,,,5.523,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213798,SLB,Oceania,Solomon Islands,2020-10-26,4.0,0.0,0.143,,,,5.523,0.0,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213799,SLB,Oceania,Solomon Islands,2020-10-27,8.0,4.0,0.714,,,,11.046,5.523,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213800,SLB,Oceania,Solomon Islands,2020-10-28,8.0,0.0,0.714,,,,11.046,0.0,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213801,SLB,Oceania,Solomon Islands,2020-10-29,8.0,0.0,0.571,,,,11.046,0.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213802,SLB,Oceania,Solomon Islands,2020-10-30,8.0,0.0,0.571,,,,11.046,0.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213803,SLB,Oceania,Solomon Islands,2020-10-31,8.0,0.0,0.571,,,,11.046,0.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213804,SLB,Oceania,Solomon Islands,2020-11-01,8.0,0.0,0.571,,,,11.046,0.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213805,SLB,Oceania,Solomon Islands,2020-11-02,13.0,5.0,1.286,,,,17.949,6.903,1.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213806,SLB,Oceania,Solomon Islands,2020-11-03,13.0,0.0,0.714,,,,17.949,0.0,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213807,SLB,Oceania,Solomon Islands,2020-11-04,13.0,0.0,0.714,,,,17.949,0.0,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213808,SLB,Oceania,Solomon Islands,2020-11-05,13.0,0.0,0.714,,,,17.949,0.0,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
213809,SLB,Oceania,Solomon Islands,2020-11-06,13.0,0.0,0.714,,,,17.949,0.0,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
