,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
225724,CHE,Europe,Switzerland,2020-02-25,1.0,1.0,,,,,0.114,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225725,CHE,Europe,Switzerland,2020-02-26,1.0,0.0,,,,,0.114,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225726,CHE,Europe,Switzerland,2020-02-27,8.0,7.0,,,,,0.915,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225727,CHE,Europe,Switzerland,2020-02-28,8.0,0.0,,,,,0.915,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225728,CHE,Europe,Switzerland,2020-02-29,18.0,10.0,,,,,2.059,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225729,CHE,Europe,Switzerland,2020-03-01,27.0,9.0,3.857,,,,3.089,1.03,0.441,,,,,,,,,,,52.0,5.949,,,,,,,,,,,,,,,,,,,,,,,19.44,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,-1082.3,-8.0,-12.11,-125.28638
225730,CHE,Europe,Switzerland,2020-03-02,42.0,15.0,6.0,,,,4.805,1.716,0.686,,,,,,,,,,,60.0,6.865,,,,,,,,,,,,,,,,,,,,,,,19.44,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225731,CHE,Europe,Switzerland,2020-03-03,56.0,14.0,7.857,,,,6.407,1.602,0.899,,,,,,,,,,,73.0,8.352,,,,,,,,,,,,,,,,,,,,,,,25.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225732,CHE,Europe,Switzerland,2020-03-04,90.0,34.0,12.714,,,,10.297,3.89,1.455,,,,,,,,,,,77.0,8.81,,,,,,,,,,,,,,,,,,,,,,,25.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
225733,CHE,Europe,Switzerland,2020-03-05,114.0,24.0,15.143,,,,13.043,2.746,1.732,,,,,,,,,,,90.0,10.297,,,,,,,,,,,,,,,,,,,,,,,25.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
