,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
230084,TZA,Africa,Tanzania,2020-03-16,1.0,1.0,,,,,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230085,TZA,Africa,Tanzania,2020-03-17,1.0,0.0,,,,,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230086,TZA,Africa,Tanzania,2020-03-18,3.0,2.0,,,,,0.046,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230087,TZA,Africa,Tanzania,2020-03-19,6.0,3.0,,,,,0.092,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230088,TZA,Africa,Tanzania,2020-03-20,6.0,0.0,,,,,0.092,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230089,TZA,Africa,Tanzania,2020-03-21,6.0,0.0,0.857,,,,0.092,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230090,TZA,Africa,Tanzania,2020-03-22,12.0,6.0,1.714,,,,0.183,0.092,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230091,TZA,Africa,Tanzania,2020-03-23,12.0,0.0,1.571,,,,0.183,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230092,TZA,Africa,Tanzania,2020-03-24,12.0,0.0,1.571,,,,0.183,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230093,TZA,Africa,Tanzania,2020-03-25,12.0,0.0,1.286,,,,0.183,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230094,TZA,Africa,Tanzania,2020-03-26,13.0,1.0,1.0,,,,0.198,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230095,TZA,Africa,Tanzania,2020-03-27,13.0,0.0,1.0,,,,0.198,0.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230096,TZA,Africa,Tanzania,2020-03-28,14.0,1.0,1.143,,,,0.214,0.015,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230097,TZA,Africa,Tanzania,2020-03-29,14.0,0.0,0.286,,,,0.214,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230098,TZA,Africa,Tanzania,2020-03-30,19.0,5.0,1.0,,,,0.29,0.076,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230099,TZA,Africa,Tanzania,2020-03-31,19.0,0.0,1.0,1.0,1.0,,0.29,0.0,0.015,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230100,TZA,Africa,Tanzania,2020-04-01,20.0,1.0,1.143,1.0,0.0,,0.305,0.015,0.017,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230101,TZA,Africa,Tanzania,2020-04-02,20.0,0.0,1.0,1.0,0.0,,0.305,0.0,0.015,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230102,TZA,Africa,Tanzania,2020-04-03,20.0,0.0,1.0,1.0,0.0,,0.305,0.0,0.015,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230103,TZA,Africa,Tanzania,2020-04-04,20.0,0.0,0.857,1.0,0.0,,0.305,0.0,0.013,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230104,TZA,Africa,Tanzania,2020-04-05,22.0,2.0,1.143,1.0,0.0,0.143,0.336,0.031,0.017,0.015,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230105,TZA,Africa,Tanzania,2020-04-06,24.0,2.0,0.714,1.0,0.0,0.143,0.366,0.031,0.011,0.015,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
230106,TZA,Africa,Tanzania,2020-04-07,24.0,0.0,0.714,1.0,0.0,0.0,0.366,0.0,0.011,0.015,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
