,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
235710,TTO,North America,Trinidad and Tobago,2020-03-14,2.0,2.0,,,,,1.306,1.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235711,TTO,North America,Trinidad and Tobago,2020-03-15,2.0,0.0,,,,,1.306,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235712,TTO,North America,Trinidad and Tobago,2020-03-16,4.0,2.0,,,,,2.613,1.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235713,TTO,North America,Trinidad and Tobago,2020-03-17,5.0,1.0,,,,,3.266,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235714,TTO,North America,Trinidad and Tobago,2020-03-18,7.0,2.0,,,,,4.572,1.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235715,TTO,North America,Trinidad and Tobago,2020-03-19,9.0,2.0,1.286,,,,5.878,1.306,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235716,TTO,North America,Trinidad and Tobago,2020-03-20,9.0,0.0,1.286,,,,5.878,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235717,TTO,North America,Trinidad and Tobago,2020-03-21,49.0,40.0,6.714,,,,32.004,26.126,4.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235718,TTO,North America,Trinidad and Tobago,2020-03-22,50.0,1.0,6.857,,,,32.657,0.653,4.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
235719,TTO,North America,Trinidad and Tobago,2020-03-23,51.0,1.0,6.714,,,,33.311,0.653,4.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
