,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
236795,TUN,Africa,Tunisia,2020-03-04,1.0,1.0,,,,,0.081,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236796,TUN,Africa,Tunisia,2020-03-05,1.0,0.0,,,,,0.081,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236797,TUN,Africa,Tunisia,2020-03-06,1.0,0.0,,,,,0.081,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236798,TUN,Africa,Tunisia,2020-03-07,1.0,0.0,,,,,0.081,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236799,TUN,Africa,Tunisia,2020-03-08,2.0,1.0,,,,,0.162,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236800,TUN,Africa,Tunisia,2020-03-09,2.0,0.0,0.286,,,,0.162,0.0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236801,TUN,Africa,Tunisia,2020-03-10,5.0,3.0,0.714,,,,0.405,0.243,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236802,TUN,Africa,Tunisia,2020-03-11,7.0,2.0,0.857,,,,0.567,0.162,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236803,TUN,Africa,Tunisia,2020-03-12,7.0,0.0,0.857,,,,0.567,0.0,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236804,TUN,Africa,Tunisia,2020-03-13,16.0,9.0,2.143,,,,1.295,0.728,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236805,TUN,Africa,Tunisia,2020-03-14,18.0,2.0,2.429,,,,1.457,0.162,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236806,TUN,Africa,Tunisia,2020-03-15,18.0,0.0,2.286,,,,1.457,0.0,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236807,TUN,Africa,Tunisia,2020-03-16,20.0,2.0,2.571,,,,1.619,0.162,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236808,TUN,Africa,Tunisia,2020-03-17,24.0,4.0,2.714,,,,1.942,0.324,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
236809,TUN,Africa,Tunisia,2020-03-18,29.0,5.0,3.143,,,,2.347,0.405,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
