,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
238978,TKM,Asia,Turkmenistan,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51746.0,32240.0,19506.0,,,,0.8,0.5,0.3,,,,,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238979,TKM,Asia,Turkmenistan,2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238980,TKM,Asia,Turkmenistan,2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238981,TKM,Asia,Turkmenistan,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238982,TKM,Asia,Turkmenistan,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238983,TKM,Asia,Turkmenistan,2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238984,TKM,Asia,Turkmenistan,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238985,TKM,Asia,Turkmenistan,2021-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238986,TKM,Asia,Turkmenistan,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238987,TKM,Asia,Turkmenistan,2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238988,TKM,Asia,Turkmenistan,2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238989,TKM,Asia,Turkmenistan,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238990,TKM,Asia,Turkmenistan,2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238991,TKM,Asia,Turkmenistan,2021-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238992,TKM,Asia,Turkmenistan,2021-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238993,TKM,Asia,Turkmenistan,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238994,TKM,Asia,Turkmenistan,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238995,TKM,Asia,Turkmenistan,2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
238996,TKM,Asia,Turkmenistan,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106.0,,,,,2971.0,7918.0,0.123,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
