,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
239623,TCA,North America,Turks and Caicos Islands,2020-03-28,4.0,4.0,,,,,87.478,87.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239624,TCA,North America,Turks and Caicos Islands,2020-03-29,4.0,0.0,,,,,87.478,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239625,TCA,North America,Turks and Caicos Islands,2020-03-30,5.0,1.0,,,,,109.347,21.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239626,TCA,North America,Turks and Caicos Islands,2020-03-31,5.0,0.0,,,,,109.347,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239627,TCA,North America,Turks and Caicos Islands,2020-04-01,6.0,1.0,,,,,131.216,21.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239628,TCA,North America,Turks and Caicos Islands,2020-04-02,5.0,,,,,,109.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239629,TCA,North America,Turks and Caicos Islands,2020-04-03,5.0,0.0,0.857,,,,109.347,0.0,18.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239630,TCA,North America,Turks and Caicos Islands,2020-04-04,5.0,0.0,0.286,,,,109.347,0.0,6.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239631,TCA,North America,Turks and Caicos Islands,2020-04-05,5.0,0.0,0.286,1.0,1.0,,109.347,0.0,6.248,21.869,21.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239632,TCA,North America,Turks and Caicos Islands,2020-04-06,8.0,3.0,0.571,1.0,0.0,,174.955,65.608,12.497,21.869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239633,TCA,North America,Turks and Caicos Islands,2020-04-07,8.0,0.0,0.571,1.0,0.0,,174.955,0.0,12.497,21.869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239634,TCA,North America,Turks and Caicos Islands,2020-04-08,8.0,0.0,0.429,1.0,0.0,,174.955,0.0,9.373,21.869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
239635,TCA,North America,Turks and Caicos Islands,2020-04-09,8.0,0.0,0.429,1.0,0.0,,174.955,0.0,9.373,21.869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
