,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
242448,UKR,Europe,Ukraine,2020-03-03,1.0,1.0,,,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242449,UKR,Europe,Ukraine,2020-03-04,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242450,UKR,Europe,Ukraine,2020-03-05,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242451,UKR,Europe,Ukraine,2020-03-06,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242452,UKR,Europe,Ukraine,2020-03-07,1.0,0.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242453,UKR,Europe,Ukraine,2020-03-08,1.0,0.0,0.143,,,,0.025,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242454,UKR,Europe,Ukraine,2020-03-09,1.0,0.0,0.143,,,,0.025,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242455,UKR,Europe,Ukraine,2020-03-10,1.0,0.0,0.0,,,,0.025,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242456,UKR,Europe,Ukraine,2020-03-11,1.0,0.0,0.0,,,,0.025,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242457,UKR,Europe,Ukraine,2020-03-12,1.0,0.0,0.0,,,,0.025,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242458,UKR,Europe,Ukraine,2020-03-13,3.0,2.0,0.286,1.0,1.0,,0.076,0.05,0.007,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242459,UKR,Europe,Ukraine,2020-03-14,3.0,0.0,0.286,1.0,0.0,,0.076,0.0,0.007,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242460,UKR,Europe,Ukraine,2020-03-15,3.0,0.0,0.286,1.0,0.0,,0.076,0.0,0.007,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242461,UKR,Europe,Ukraine,2020-03-16,7.0,4.0,0.857,1.0,0.0,,0.176,0.101,0.022,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242462,UKR,Europe,Ukraine,2020-03-17,14.0,7.0,1.857,2.0,1.0,,0.353,0.176,0.047,0.05,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242463,UKR,Europe,Ukraine,2020-03-18,14.0,0.0,1.857,2.0,0.0,0.286,0.353,0.0,0.047,0.05,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242464,UKR,Europe,Ukraine,2020-03-19,16.0,2.0,2.143,2.0,0.0,0.286,0.403,0.05,0.054,0.05,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242465,UKR,Europe,Ukraine,2020-03-20,29.0,13.0,3.714,3.0,1.0,0.286,0.73,0.327,0.094,0.076,0.025,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242466,UKR,Europe,Ukraine,2020-03-21,47.0,18.0,6.286,3.0,0.0,0.286,1.184,0.453,0.158,0.076,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242467,UKR,Europe,Ukraine,2020-03-22,73.0,26.0,10.0,3.0,0.0,0.286,1.839,0.655,0.252,0.076,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242468,UKR,Europe,Ukraine,2020-03-23,73.0,0.0,9.429,3.0,0.0,0.286,1.839,0.0,0.237,0.076,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242469,UKR,Europe,Ukraine,2020-03-24,97.0,24.0,11.857,3.0,0.0,0.143,2.443,0.605,0.299,0.076,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
242470,UKR,Europe,Ukraine,2020-03-25,145.0,48.0,18.714,5.0,2.0,0.429,3.652,1.209,0.471,0.126,0.05,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,,,,
