,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
244674,GBR,Europe,United Kingdom,2020-01-30,,,,1.0,1.0,,,,,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244675,GBR,Europe,United Kingdom,2020-01-31,2.0,2.0,,1.0,0.0,,0.03,0.03,,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244676,GBR,Europe,United Kingdom,2020-02-01,2.0,0.0,,1.0,0.0,,0.03,0.0,,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244677,GBR,Europe,United Kingdom,2020-02-02,2.0,0.0,,2.0,1.0,,0.03,0.0,,0.03,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,-1956.3,-2.68,-5.6,-29.172613
244678,GBR,Europe,United Kingdom,2020-02-03,8.0,6.0,,2.0,0.0,,0.119,0.089,,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244679,GBR,Europe,United Kingdom,2020-02-04,8.0,0.0,,2.0,0.0,0.286,0.119,0.0,,0.03,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244680,GBR,Europe,United Kingdom,2020-02-05,9.0,1.0,1.286,2.0,0.0,0.286,0.133,0.015,0.019,0.03,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244681,GBR,Europe,United Kingdom,2020-02-06,9.0,0.0,1.286,2.0,0.0,0.143,0.133,0.0,0.019,0.03,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244682,GBR,Europe,United Kingdom,2020-02-07,9.0,0.0,1.0,2.0,0.0,0.143,0.133,0.0,0.015,0.03,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244683,GBR,Europe,United Kingdom,2020-02-08,13.0,4.0,1.571,2.0,0.0,0.143,0.193,0.059,0.023,0.03,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244684,GBR,Europe,United Kingdom,2020-02-09,14.0,1.0,1.714,2.0,0.0,0.0,0.207,0.015,0.025,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,-2995.2002,-3.46,-7.66,-44.664833
244685,GBR,Europe,United Kingdom,2020-02-10,14.0,0.0,0.857,2.0,0.0,0.0,0.207,0.0,0.013,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244686,GBR,Europe,United Kingdom,2020-02-11,15.0,1.0,1.0,2.0,0.0,0.0,0.222,0.015,0.015,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244687,GBR,Europe,United Kingdom,2020-02-12,16.0,1.0,1.0,2.0,0.0,0.0,0.237,0.015,0.015,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244688,GBR,Europe,United Kingdom,2020-02-13,17.0,1.0,1.143,2.0,0.0,0.0,0.252,0.015,0.017,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244689,GBR,Europe,United Kingdom,2020-02-14,18.0,1.0,1.286,2.0,0.0,0.0,0.267,0.015,0.019,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244690,GBR,Europe,United Kingdom,2020-02-15,18.0,0.0,0.714,2.0,0.0,0.0,0.267,0.0,0.011,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244691,GBR,Europe,United Kingdom,2020-02-16,18.0,0.0,0.571,2.0,0.0,0.0,0.267,0.0,0.008,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,-3845.7002,-3.85,-6.41,-57.347607
244692,GBR,Europe,United Kingdom,2020-02-17,19.0,1.0,0.714,2.0,0.0,0.0,0.281,0.015,0.011,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244693,GBR,Europe,United Kingdom,2020-02-18,19.0,0.0,0.571,2.0,0.0,0.0,0.281,0.0,0.008,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244694,GBR,Europe,United Kingdom,2020-02-19,20.0,1.0,0.571,2.0,0.0,0.0,0.296,0.015,0.008,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244695,GBR,Europe,United Kingdom,2020-02-20,22.0,2.0,0.714,2.0,0.0,0.0,0.326,0.03,0.011,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244696,GBR,Europe,United Kingdom,2020-02-21,23.0,1.0,0.714,2.0,0.0,0.0,0.341,0.015,0.011,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244697,GBR,Europe,United Kingdom,2020-02-22,23.0,0.0,0.714,3.0,1.0,0.143,0.341,0.0,0.011,0.044,0.015,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244698,GBR,Europe,United Kingdom,2020-02-23,28.0,5.0,1.429,3.0,0.0,0.143,0.415,0.074,0.021,0.044,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,-4760.6,-4.21,-6.92,-70.990715
244699,GBR,Europe,United Kingdom,2020-02-24,30.0,2.0,1.571,3.0,0.0,0.143,0.444,0.03,0.023,0.044,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244700,GBR,Europe,United Kingdom,2020-02-25,34.0,4.0,2.143,3.0,0.0,0.143,0.504,0.059,0.032,0.044,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244701,GBR,Europe,United Kingdom,2020-02-26,37.0,3.0,2.429,3.0,0.0,0.143,0.548,0.044,0.036,0.044,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
244702,GBR,Europe,United Kingdom,2020-02-27,44.0,7.0,3.143,3.0,0.0,0.143,0.652,0.104,0.047,0.044,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,,,,
