,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
247758,OWID_UMC,,Upper middle income,2020-01-22,551.0,0.0,,17.0,0.0,,0.218,0.0,,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247759,OWID_UMC,,Upper middle income,2020-01-23,643.0,92.0,,18.0,1.0,,0.255,0.036,,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247760,OWID_UMC,,Upper middle income,2020-01-24,921.0,278.0,,26.0,8.0,,0.365,0.11,,0.01,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247761,OWID_UMC,,Upper middle income,2020-01-25,1409.0,488.0,,42.0,16.0,,0.558,0.193,,0.017,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247762,OWID_UMC,,Upper middle income,2020-01-26,2074.0,665.0,,56.0,14.0,,0.821,0.263,,0.022,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247763,OWID_UMC,,Upper middle income,2020-01-27,2875.0,801.0,332.0,82.0,26.0,9.286,1.138,0.317,0.131,0.032,0.01,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247764,OWID_UMC,,Upper middle income,2020-01-28,5512.0,2637.0,708.714,131.0,49.0,16.286,2.182,1.044,0.281,0.052,0.019,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247765,OWID_UMC,,Upper middle income,2020-01-29,6091.0,579.0,791.429,133.0,2.0,16.571,2.411,0.229,0.313,0.053,0.001,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247766,OWID_UMC,,Upper middle income,2020-01-30,8146.0,2055.0,1071.857,171.0,38.0,21.857,3.225,0.814,0.424,0.068,0.015,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
247767,OWID_UMC,,Upper middle income,2020-01-31,9812.0,1666.0,1270.143,213.0,42.0,26.714,3.885,0.66,0.503,0.084,0.017,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300.0,,,,
