,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
259339,ZMB,Africa,Zambia,2020-03-18,2.0,2.0,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259340,ZMB,Africa,Zambia,2020-03-19,2.0,0.0,,,,,0.1,0.0,,,,,,,,,,,,,,33.0,,0.002,,,,,,tests performed,,,,,,,,,,,,,,16.67,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259341,ZMB,Africa,Zambia,2020-03-20,2.0,0.0,,,,,0.1,0.0,,,,,,,,,,,,,,58.0,25.0,0.003,0.001,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259342,ZMB,Africa,Zambia,2020-03-21,2.0,0.0,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259343,ZMB,Africa,Zambia,2020-03-22,3.0,1.0,,,,,0.15,0.05,,,,,,,,,,,,,,75.0,,0.004,,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259344,ZMB,Africa,Zambia,2020-03-23,3.0,0.0,0.429,,,,0.15,0.0,0.021,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259345,ZMB,Africa,Zambia,2020-03-24,3.0,0.0,0.429,,,,0.15,0.0,0.021,,,,,,,,,,,,,103.0,,0.005,,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259346,ZMB,Africa,Zambia,2020-03-25,12.0,9.0,1.429,,,,0.599,0.45,0.071,,,,,,,,,,,,,143.0,40.0,0.007,0.002,,,,,tests performed,,,,,,,,,,,,,,27.78,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259347,ZMB,Africa,Zambia,2020-03-26,16.0,4.0,2.0,,,,0.799,0.2,0.1,,,,,,,,,,,,,197.0,54.0,0.01,0.003,23.0,0.001,0.087,11.5,tests performed,,,,,,,,,,,,,,36.11,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
259348,ZMB,Africa,Zambia,2020-03-27,22.0,6.0,2.857,,,,1.099,0.3,0.143,,,,,,,,,,,,,269.0,72.0,0.014,0.004,30.0,0.002,0.0952,10.5,tests performed,,,,,,,,,,,,,,41.67,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
