,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
260420,ZWE,Africa,Zimbabwe,2020-03-20,1.0,1.0,,,,,0.061,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260421,ZWE,Africa,Zimbabwe,2020-03-21,3.0,2.0,,,,,0.184,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260422,ZWE,Africa,Zimbabwe,2020-03-22,3.0,0.0,,,,,0.184,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260423,ZWE,Africa,Zimbabwe,2020-03-23,3.0,0.0,,1.0,1.0,,0.184,0.0,,0.061,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260424,ZWE,Africa,Zimbabwe,2020-03-24,3.0,0.0,,1.0,0.0,,0.184,0.0,,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260425,ZWE,Africa,Zimbabwe,2020-03-25,3.0,0.0,0.429,1.0,0.0,,0.184,0.0,0.026,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260426,ZWE,Africa,Zimbabwe,2020-03-26,3.0,0.0,0.429,1.0,0.0,,0.184,0.0,0.026,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260427,ZWE,Africa,Zimbabwe,2020-03-27,5.0,2.0,0.571,1.0,0.0,,0.306,0.123,0.035,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260428,ZWE,Africa,Zimbabwe,2020-03-28,7.0,2.0,0.571,1.0,0.0,0.143,0.429,0.123,0.035,0.061,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260429,ZWE,Africa,Zimbabwe,2020-03-29,7.0,0.0,0.571,1.0,0.0,0.143,0.429,0.0,0.035,0.061,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260430,ZWE,Africa,Zimbabwe,2020-03-30,7.0,0.0,0.571,1.0,0.0,0.0,0.429,0.0,0.035,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260431,ZWE,Africa,Zimbabwe,2020-03-31,8.0,1.0,0.714,1.0,0.0,0.0,0.49,0.061,0.044,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260432,ZWE,Africa,Zimbabwe,2020-04-01,8.0,0.0,0.714,1.0,0.0,0.0,0.49,0.0,0.044,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260433,ZWE,Africa,Zimbabwe,2020-04-02,9.0,1.0,0.857,1.0,0.0,0.0,0.551,0.061,0.053,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260434,ZWE,Africa,Zimbabwe,2020-04-03,9.0,0.0,0.571,1.0,0.0,0.0,0.551,0.0,0.035,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260435,ZWE,Africa,Zimbabwe,2020-04-04,9.0,0.0,0.286,1.0,0.0,0.0,0.551,0.0,0.018,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260436,ZWE,Africa,Zimbabwe,2020-04-05,9.0,0.0,0.286,1.0,0.0,0.0,0.551,0.0,0.018,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260437,ZWE,Africa,Zimbabwe,2020-04-06,10.0,1.0,0.429,1.0,0.0,0.0,0.613,0.061,0.026,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260438,ZWE,Africa,Zimbabwe,2020-04-07,11.0,1.0,0.429,2.0,1.0,0.143,0.674,0.061,0.026,0.123,0.061,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260439,ZWE,Africa,Zimbabwe,2020-04-08,11.0,0.0,0.429,3.0,1.0,0.286,0.674,0.0,0.026,0.184,0.061,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260440,ZWE,Africa,Zimbabwe,2020-04-09,11.0,0.0,0.286,3.0,0.0,0.286,0.674,0.0,0.018,0.184,0.0,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260441,ZWE,Africa,Zimbabwe,2020-04-10,13.0,2.0,0.571,3.0,0.0,0.286,0.797,0.123,0.035,0.184,0.0,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260442,ZWE,Africa,Zimbabwe,2020-04-11,14.0,1.0,0.714,3.0,0.0,0.286,0.858,0.061,0.044,0.184,0.0,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260443,ZWE,Africa,Zimbabwe,2020-04-12,14.0,0.0,0.714,3.0,0.0,0.286,0.858,0.0,0.044,0.184,0.0,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260444,ZWE,Africa,Zimbabwe,2020-04-13,17.0,3.0,1.0,3.0,0.0,0.286,1.042,0.184,0.061,0.184,0.0,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260445,ZWE,Africa,Zimbabwe,2020-04-14,17.0,0.0,0.857,3.0,0.0,0.143,1.042,0.0,0.053,0.184,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260446,ZWE,Africa,Zimbabwe,2020-04-15,23.0,6.0,1.714,3.0,0.0,0.0,1.409,0.368,0.105,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260447,ZWE,Africa,Zimbabwe,2020-04-16,23.0,0.0,1.714,3.0,0.0,0.0,1.409,0.0,0.105,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260448,ZWE,Africa,Zimbabwe,2020-04-17,24.0,1.0,1.571,3.0,0.0,0.0,1.471,0.061,0.096,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260449,ZWE,Africa,Zimbabwe,2020-04-18,25.0,1.0,1.571,3.0,0.0,0.0,1.532,0.061,0.096,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260450,ZWE,Africa,Zimbabwe,2020-04-19,25.0,0.0,1.571,3.0,0.0,0.0,1.532,0.0,0.096,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260451,ZWE,Africa,Zimbabwe,2020-04-20,25.0,0.0,1.143,3.0,0.0,0.0,1.532,0.0,0.07,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260452,ZWE,Africa,Zimbabwe,2020-04-21,28.0,3.0,1.571,3.0,0.0,0.0,1.716,0.184,0.096,0.184,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260453,ZWE,Africa,Zimbabwe,2020-04-22,28.0,0.0,0.714,4.0,1.0,0.143,1.716,0.0,0.044,0.245,0.061,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260454,ZWE,Africa,Zimbabwe,2020-04-23,28.0,0.0,0.714,4.0,0.0,0.143,1.716,0.0,0.044,0.245,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260455,ZWE,Africa,Zimbabwe,2020-04-24,29.0,1.0,0.714,4.0,0.0,0.143,1.777,0.061,0.044,0.245,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260456,ZWE,Africa,Zimbabwe,2020-04-25,31.0,2.0,0.857,4.0,0.0,0.143,1.899,0.123,0.053,0.245,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
260457,ZWE,Africa,Zimbabwe,2020-04-26,31.0,0.0,0.857,4.0,0.0,0.143,1.899,0.0,0.053,0.245,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
