date,AFG-new_deaths,AFG-stringency_index,AFG-new_cases,AFG-new_people_vaccinated_smoothed,VIE-new_deaths,VIE-stringency_index,VIE-new_cases,VIE-new_people_vaccinated_smoothed,BRA-new_deaths,BRA-stringency_index,BRA-new_cases,BRA-new_people_vaccinated_smoothed,IND-new_deaths,IND-stringency_index,IND-new_cases,IND-new_people_vaccinated_smoothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
08-03-2021,2,12.04,29,2862,0,63.43,12,377,1122,67.13,36585,242668,77,63.43,15388,955278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2021,0,12.04,0,2862,0,63.43,2,261,1951,67.13,71294,235761,133,57.87,17921,1013922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2021,0,30.56,18,2862,0,63.43,3,318,2381,67.13,81467,227920,126,57.87,22854,1042194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2021,0,30.56,23,2862,0,63.43,4,396,2195,67.13,77071,228195,117,57.87,23285,948429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2021,3,30.56,42,2862,0,63.43,17,1050,2122,67.13,82471,226959,140,57.87,24882,1011260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2021,0,30.56,0,2862,0,63.43,3,1674,1956,67.13,70343,218280,161,57.87,25320,1019905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2021,3,30.56,26,2862,0,63.43,1,1658,1070,67.13,43448,212934,118,57.87,26291,1032069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2021,2,30.56,0,2862,0,63.43,3,2213,1334,67.13,44314,226117,131,57.87,24492,1162314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2021,1,30.56,10,2862,0,63.43,3,2882,2850,67.13,85645,233977,188,57.87,28903,1265401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2021,0,30.56,21,2882,0,63.43,7,3300,2661,70.83,88652,244597,172,57.87,35871,1366615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2021,2,30.56,28,2902,0,63.43,3,3709,2724,70.83,87926,251034,154,57.87,39726,1570056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2021,0,30.56,25,2921,0,63.43,1,3675,2656,70.83,88259,280264,188,57.87,40953,1680932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2021,0,30.56,24,2941,0,63.43,1,3189,2368,70.83,73154,295695,197,57.87,43846,1831079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2021,1,30.56,10,2961,0,63.43,0,3184,1247,70.83,47445,300039,212,57.87,46951,1874560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2021,1,30.56,50,2980,0,63.43,3,2888,1603,70.83,55970,318151,199,57.87,40715,1935953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2021,2,26.85,24,3000,0,56.94,0,2459,3147,70.83,85208,345061,275,57.87,47262,1981416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2021,0,26.85,15,3000,0,56.94,1,2252,2317,70.83,90906,387271,251,57.87,53476,2035107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,1,26.85,34,3000,0,56.94,3,2097,2654,70.83,98261,435312,257,57.87,59118,2082177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2021,0,26.85,28,3000,0,56.94,7,1861,3510,70.83,80346,488481,291,57.87,62258,2083513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2021,2,26.85,36,3000,0,56.94,0,1702,3409,70.83,81703,506042,312,57.87,62714,2045178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2021,1,26.85,4,3000,0,56.94,5,1607,1582,70.83,46958,527927,291,57.87,68020,2012276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-03-2021,2,26.85,28,3000,0,56.94,3,1476,2013,70.83,42615,574347,271,57.87,56211,1654321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2021,4,26.85,62,3000,0,56.94,0,1478,3655,70.83,86441,596767,354,57.87,53480,1608155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2021,8,26.85,70,3000,0,56.94,9,1418,3925,70.83,88725,615623,459,57.87,72330,1562380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2021,5,26.85,63,3000,0,56.94,14,1284,3655,70.83,87773,648013,469,57.87,81466,1735332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2021,6,26.85,55,3000,0,56.94,3,1156,2801,70.83,69375,567424,714,57.87,89129,1950710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2021,1,26.85,23,3000,0,56.94,6,1151,1909,70.83,39355,562888,513,74.54,93249,2042576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2021,1,26.85,81,3000,0,56.94,5,1039,1242,70.83,32318,570908,478,74.54,103558,2431229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-04-2021,11,26.85,41,3000,0,56.94,6,922,1912,70.83,42674,531574,446,69.91,96982,2866559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2021,4,26.85,62,3000,0,56.94,11,814,4068,70.83,85132,550705,630,69.91,115736,3135426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2021,0,26.85,94,3000,0,56.94,11,773,3671,70.83,88696,541822,685,69.91,126789,3282832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2021,4,26.85,70,3714,0,56.94,9,768,4148,70.83,88555,515369,780,69.91,131968,3329675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2021,5,26.85,76,4429,0,56.94,15,849,3752,70.83,88110,541781,794,69.91,145384,3240323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2021,0,26.85,125,5143,0,56.94,9,845,2378,70.83,66552,553547,839,69.91,152879,3306642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-04-2021,0,26.85,16,5857,0,56.94,1,858,1857,70.83,39175,541509,904,69.91,168912,3272652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-04-2021,8,26.85,82,6571,0,56.94,12,912,1711,70.83,39650,550603,879,69.91,161736,3252247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2021,0,26.85,122,7286,0,51.39,9,884,3757,70.83,82661,517574,1027,69.91,184372,3052128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2021,3,26.85,128,8000,0,51.39,19,982,3445,70.83,74606,493985,1038,69.91,200739,3059453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2021,1,26.85,42,8000,0,51.39,25,1023,3491,70.83,71183,461655,1185,69.91,217353,2841819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2021,2,26.85,78,8000,0,51.39,14,1190,3337,70.83,84387,445286,1341,69.91,234692,2663519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2021,4,26.85,109,8000,0,51.39,9,1363,2877,70.83,68565,426855,1501,69.91,261394,2506445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-04-2021,0,26.85,72,8000,0,51.39,4,2966,1522,70.83,38838,415627,1619,69.91,273802,2254910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-04-2021,7,26.85,105,8000,0,51.39,6,3087,1756,63.43,36522,399530,1761,73.61,259167,2088020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2021,3,26.85,139,8000,0,51.39,9,6684,3347,60.65,72643,387276,2023,73.61,295158,1909194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2021,8,26.85,177,8000,0,51.39,12,6696,3197,60.65,73988,360239,2104,73.61,314644,1642023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2021,4,26.85,98,8000,0,51.39,12,9265,2051,60.65,48108,344117,2263,73.61,332921,1605002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2021,4,26.85,230,8428,0,51.39,6,15667,3042,60.65,69281,424800,2624,73.61,346786,1511338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2021,7,26.85,188,8855,0,51.39,3,18740,2766,60.65,63781,413692,2767,73.61,349691,1422907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-04-2021,10,26.85,113,9283,0,51.39,10,18636,1334,60.65,33641,404459,2812,73.61,352991,1489034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-04-2021,10,26.85,172,9711,0,51.39,9,25554,1380,60.65,32398,413531,2771,73.61,323023,1461010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-04-2021,6,26.85,210,10138,0,69.91,5,30266,3081,60.65,75844,441693,3293,73.61,360927,1513859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2021,13,26.85,145,10566,0,69.91,8,45249,3012,60.65,77279,461517,3645,73.61,379308,1552117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
